complex,seed,id,pep_plDDT,plDDT,ipTM,pTM,pep_pTM,pAE_min,ipAE,ranking_score,scRMSD
1eg4,44,0,77.6643,94.6148,0.8500,0.9500,0.0200,1.1700,1.2200,0.8900,3.1501
1eg4,44,1,74.9150,94.3727,0.8200,0.9500,0.0200,1.2300,1.2400,0.8700,5.1561
1eg4,44,2,76.2275,94.5662,0.8400,0.9400,0.0200,1.0500,1.0900,0.8800,2.8357
1eg4,44,3,76.0236,94.5198,0.8400,0.9500,0.0200,1.0400,1.0800,0.8800,5.8494
1eg4,44,4,76.1360,94.4526,0.8300,0.9400,0.0200,1.0300,1.0600,0.8800,5.8416
1f47,42,0,80.8303,90.8032,0.8300,0.9100,0.0200,1.0300,1.0550,0.9000,2.6962
1f47,42,1,84.1850,91.2394,0.8600,0.9100,0.0300,1.0400,1.0600,0.9200,1.6731
1f47,42,2,83.6739,91.0698,0.8500,0.9100,0.0300,0.9200,0.9350,0.9200,1.2577
1f47,42,3,82.7085,90.9071,0.8400,0.9000,0.0200,0.9800,1.0000,0.9000,1.6606
1f47,42,4,84.9471,91.4361,0.8600,0.9100,0.0300,0.9500,0.9800,0.9300,1.9967
1f47,43,0,81.6135,90.8403,0.8300,0.9100,0.0200,1.0200,1.0400,0.9000,2.9517
1f47,43,1,84.5304,91.1530,0.8600,0.9100,0.0300,0.9600,0.9850,0.9200,2.0795
1f47,43,2,81.6350,90.9912,0.8300,0.9100,0.0200,0.9800,1.0050,0.9200,2.7510
1f47,43,3,80.6464,90.7044,0.8200,0.9000,0.0200,1.0700,1.0850,0.8900,1.3817
1f47,43,4,82.7355,91.0878,0.8400,0.9100,0.0200,0.9800,1.0050,0.9100,1.2414
1f47,44,0,85.2789,91.3176,0.8700,0.9100,0.0300,0.9200,0.9400,0.9300,1.7678
1f47,44,1,84.5059,90.5241,0.8500,0.9000,0.0300,0.9900,1.0200,0.9100,2.7161
1f47,44,2,83.3417,90.9010,0.8400,0.9000,0.0200,0.9900,1.0200,0.9100,1.6633
1f47,44,3,83.0841,90.5949,0.8400,0.9000,0.0200,1.0200,1.0450,0.9100,2.0166
1f47,44,4,81.4663,90.4078,0.8200,0.9000,0.0200,1.0400,1.0750,0.8900,3.0004
1f8h,42,0,81.9575,87.7899,0.7500,0.7700,0.0300,1.5300,1.6950,0.7800,1.9055
1f8h,42,1,82.8071,87.8797,0.7400,0.7600,0.0300,1.4300,1.6850,0.7700,1.3769
1f8h,42,2,82.0104,87.5542,0.7400,0.7600,0.0300,1.4600,1.6700,0.7700,1.5641
1f8h,42,3,81.0027,85.8207,0.7300,0.7500,0.0300,1.5900,1.7350,0.7600,1.1548
1f8h,42,4,81.9282,88.4383,0.7400,0.7700,0.0300,1.4700,1.7050,0.7700,1.5141
1f8h,43,0,82.9810,87.0015,0.7400,0.7500,0.0300,1.4800,1.6550,0.7700,1.6414
1f8h,43,1,82.6567,88.0589,0.7300,0.7500,0.0300,1.5400,1.7250,0.7600,1.4341
1f8h,43,2,83.5075,88.3824,0.7300,0.7600,0.0300,1.5100,1.7550,0.7700,1.2420
1f8h,43,3,82.0294,88.4292,0.7300,0.7600,0.0300,1.4600,1.7200,0.7600,1.7654
1f8h,43,4,82.7439,89.2874,0.7200,0.7700,0.0300,1.4600,1.7350,0.7600,1.6108
1f8h,44,0,82.7757,87.7116,0.7400,0.7600,0.0300,1.5400,1.7400,0.7800,2.0714
1f8h,44,1,81.6931,86.6110,0.7300,0.7500,0.0200,1.5300,1.7250,0.7600,1.8985
1f8h,44,2,82.4833,87.9018,0.7300,0.7600,0.0300,1.4000,1.6600,0.7700,1.7642
1f8h,44,3,82.2353,86.1939,0.7400,0.7400,0.0300,1.5000,1.7600,0.7700,1.9912
1f8h,44,4,83.6916,88.3774,0.7400,0.7600,0.0300,1.4900,1.6900,0.7800,1.9192
1j2x,42,0,93.8163,95.0303,0.8900,0.8900,0.0400,0.7900,0.7950,0.9900,0.8393
1j2x,42,1,93.9899,95.0285,0.8900,0.8900,0.0400,0.8000,0.8000,0.9900,1.1074
1j2x,42,2,91.7788,93.8764,0.8700,0.8700,0.0400,0.8400,0.8450,0.9700,1.2232
1j2x,42,3,94.2129,95.0806,0.9000,0.9000,0.0400,0.7900,0.7950,0.9900,1.4401
1j2x,42,4,92.6121,94.2914,0.8800,0.8800,0.0400,0.8200,0.8250,0.9800,0.9331
1j2x,43,0,93.0171,94.2740,0.8700,0.8700,0.0400,0.8100,0.8250,0.9700,1.0362
1j2x,43,1,92.5596,93.8472,0.8700,0.8700,0.0400,0.8100,0.8100,0.9700,1.2726
1j2x,43,2,93.6954,94.9146,0.8800,0.8800,0.0400,0.8000,0.8050,0.9700,1.0736
1j2x,43,3,93.7590,94.9463,0.8900,0.8900,0.0400,0.8000,0.8000,0.9800,1.1373
1j2x,43,4,93.8682,95.0815,0.8900,0.8900,0.0400,0.8000,0.8050,0.9800,1.0246
1j2x,44,0,94.2554,95.3117,0.9000,0.9000,0.0400,0.7900,0.7950,0.9900,0.9773
1j2x,44,1,93.4943,94.8095,0.8800,0.8800,0.0400,0.8100,0.8200,0.9800,1.2584
1j2x,44,2,92.9001,94.3213,0.8800,0.8800,0.0400,0.8000,0.8100,0.9800,0.9816
1j2x,44,3,93.3036,94.8732,0.8900,0.8900,0.0400,0.8200,0.8200,0.9900,1.2200
1j2x,44,4,93.6994,94.7593,0.8900,0.8900,0.0400,0.8000,0.8000,0.9800,1.4708
1jd5,42,0,93.1240,94.8787,0.9300,0.9100,0.0400,0.7900,0.7950,0.9600,1.1745
1jd5,42,1,94.1822,95.4118,0.9400,0.9200,0.0400,0.7800,0.7800,0.9700,1.3007
1jd5,42,2,93.5082,95.2290,0.9300,0.9200,0.0400,0.7900,0.7900,0.9600,1.0275
1jd5,42,3,92.6909,94.9494,0.9300,0.9100,0.0400,0.7800,0.7850,0.9600,2.0329
1jd5,42,4,93.7903,95.3676,0.9400,0.9200,0.0400,0.7900,0.7900,0.9700,1.3050
1jd5,43,0,93.0888,94.6962,0.9300,0.9100,0.0400,0.7900,0.7900,0.9600,1.1262
1jd5,43,1,92.5032,94.7738,0.9300,0.9100,0.0400,0.7900,0.7950,0.9600,1.0766
1jd5,43,2,93.1625,94.9437,0.9300,0.9100,0.0400,0.7900,0.7900,0.9700,1.0897
1jd5,43,3,93.9032,95.2929,0.9300,0.9100,0.0400,0.7800,0.7850,0.9700,1.1566
1jd5,43,4,93.8486,95.2575,0.9300,0.9100,0.0400,0.7800,0.7850,0.9600,1.1754
1jd5,44,0,93.5448,95.2780,0.9300,0.9200,0.0400,0.7900,0.7900,0.9600,1.0374
1jd5,44,1,93.4463,95.2418,0.9300,0.9200,0.0400,0.7900,0.7900,0.9700,0.6234
1jd5,44,2,93.6477,95.2643,0.9300,0.9100,0.0400,0.7900,0.7900,0.9600,1.0237
1jd5,44,3,93.4197,95.1254,0.9300,0.9100,0.0400,0.7900,0.7900,0.9700,1.1562
1jd5,44,4,93.3542,94.9628,0.9400,0.9100,0.0400,0.7800,0.7850,0.9700,0.9350
1jq8,42,0,62.3227,94.6224,0.5800,0.9200,0.0200,3.6900,4.6200,0.6700,2.5135
1jq8,42,1,68.1130,94.8998,0.6300,0.9300,0.0200,3.0200,3.9750,0.7100,2.0501
1jq8,42,2,68.7075,95.1271,0.6300,0.9300,0.0200,2.9900,4.0250,0.7100,2.2797
1jq8,42,3,69.9408,95.1374,0.6600,0.9300,0.0200,2.7000,3.6850,0.7400,2.1271
1jq8,42,4,70.6863,95.1850,0.6700,0.9300,0.0200,2.6300,3.5850,0.7500,2.1067
1jq8,43,0,68.7442,95.0528,0.6400,0.9300,0.0200,2.8600,3.9300,0.7200,2.8192
1jq8,43,1,67.4642,94.9415,0.6200,0.9200,0.0200,2.9000,4.0500,0.7000,2.5020
1jq8,43,2,70.9475,95.1709,0.6600,0.9300,0.0200,2.7600,3.7650,0.7500,1.5358
1jq8,43,3,71.6312,95.2324,0.6800,0.9300,0.0200,2.8100,3.4900,0.7500,2.5999
1jq8,43,4,66.8538,95.0078,0.6200,0.9300,0.0200,2.8600,3.9650,0.7000,3.1977
1jq8,44,0,67.5853,94.9876,0.6300,0.9300,0.0200,2.8900,3.9250,0.7100,2.0511
1jq8,44,1,65.1490,94.7097,0.6200,0.9200,0.0200,3.1200,3.9900,0.7000,2.1950
1jq8,44,2,69.8100,95.0359,0.6500,0.9300,0.0200,2.8700,3.8800,0.7300,2.5579
1jq8,44,3,68.9532,94.9704,0.6500,0.9200,0.0200,2.7700,3.7550,0.7200,2.1699
1jq8,44,4,67.5483,94.9063,0.6300,0.9200,0.0200,3.1100,3.9850,0.7100,3.1222
1jw6,42,0,52.4785,89.8895,0.4500,0.9100,0.0200,8.8100,9.3800,0.5600,38.8738
1jw6,42,1,58.0186,89.6285,0.5000,0.9100,0.0200,6.7000,7.7250,0.5900,36.7530
1jw6,42,2,54.5245,89.8299,0.4800,0.9200,0.0200,8.1800,8.7600,0.5800,35.7200
1jw6,42,3,57.0036,89.2591,0.4700,0.9100,0.0200,8.2400,8.6750,0.5700,36.2520
1jw6,42,4,54.3500,90.0879,0.5100,0.9200,0.0200,7.1400,7.8650,0.6100,46.4973
1jw6,43,0,57.6802,89.8438,0.4900,0.9200,0.0200,7.8200,7.8250,0.5900,35.5316
1jw6,43,1,61.8041,90.1357,0.5700,0.9200,0.0200,6.4800,6.5350,0.6500,30.5539
1jw6,43,2,54.8256,89.1520,0.4600,0.9100,0.0200,8.0800,9.0700,0.5600,32.0687
1jw6,43,3,50.9409,89.3877,0.4300,0.9100,0.0200,9.6500,9.8000,0.5400,38.2929
1jw6,43,4,58.4848,89.8769,0.5100,0.9100,0.0200,7.9200,7.9850,0.6000,34.9099
1jw6,44,0,66.4436,89.5614,0.5900,0.9100,0.0200,6.4300,7.3150,0.6700,44.1807
1jw6,44,1,51.3294,88.9465,0.4300,0.9100,0.0200,9.1000,9.2150,0.5400,46.4135
1jw6,44,2,52.6403,90.0243,0.4300,0.9100,0.0200,8.9100,8.9800,0.5400,38.4923
1jw6,44,3,60.1635,89.8765,0.5100,0.9100,0.0200,6.6000,7.7250,0.6000,37.5416
1jw6,44,4,61.5430,89.0448,0.5300,0.9100,0.0200,7.1800,7.4500,0.6200,45.3286
1l2z,42,0,81.6255,87.7016,0.6200,0.7100,0.0200,1.3200,1.3700,0.7200,2.7217
1l2z,42,1,80.9420,89.7079,0.6300,0.7600,0.0200,1.3400,1.3400,0.7300,2.7218
1l2z,42,2,81.4397,87.3942,0.6300,0.7200,0.0200,1.3100,1.3550,0.7200,2.5527
1l2z,42,3,80.6165,88.2194,0.6200,0.7300,0.0200,1.3700,1.4150,0.7200,2.2068
1l2z,42,4,79.2375,88.2061,0.6000,0.7300,0.0200,1.4100,1.4350,0.7000,3.1014
1l2z,43,0,82.2966,89.1314,0.6400,0.7400,0.0200,1.2300,1.3000,0.7300,2.6174
1l2z,43,1,81.8857,89.0823,0.6300,0.7300,0.0200,1.3900,1.4000,0.7200,2.4691
1l2z,43,2,83.7152,89.7286,0.6500,0.7500,0.0200,1.2900,1.2950,0.7400,2.8929
1l2z,43,3,81.5781,89.8938,0.6300,0.7500,0.0200,1.3300,1.3400,0.7300,2.1173
1l2z,43,4,81.1844,88.1834,0.6100,0.7300,0.0200,1.3600,1.3700,0.7100,2.4360
1l2z,44,0,77.6990,87.3255,0.6000,0.7200,0.0200,1.3500,1.3950,0.7000,3.0411
1l2z,44,1,80.8333,88.1419,0.6400,0.7200,0.0200,1.4000,1.4650,0.7300,2.5339
1l2z,44,2,81.2709,88.5375,0.6300,0.7400,0.0200,1.2800,1.3100,0.7300,2.6057
1l2z,44,3,82.1308,88.2097,0.6400,0.7400,0.0200,1.3700,1.3700,0.7400,2.6812
1l2z,44,4,81.4719,90.1194,0.6600,0.7700,0.0200,1.2700,1.2750,0.7500,2.4546
1lb6,42,0,90.7080,94.7047,0.9300,0.9300,0.0300,0.7900,0.7950,0.9600,0.4181
1lb6,42,1,91.0083,94.7299,0.9400,0.9300,0.0300,0.8000,0.8050,0.9600,0.5021
1lb6,42,2,91.3022,95.0293,0.9400,0.9400,0.0400,0.7900,0.7950,0.9700,0.6317
1lb6,42,3,90.9562,94.8464,0.9400,0.9300,0.0300,0.7900,0.7950,0.9600,0.4361
1lb6,42,4,90.7609,94.7417,0.9300,0.9300,0.0300,0.8000,0.8050,0.9600,0.4458
1lb6,43,0,90.9119,94.9383,0.9400,0.9300,0.0300,0.7900,0.7950,0.9700,0.6060
1lb6,43,1,90.6903,94.6664,0.9400,0.9300,0.0300,0.7900,0.8000,0.9600,0.5414
1lb6,43,2,90.4578,94.7835,0.9300,0.9300,0.0300,0.7900,0.8000,0.9600,0.4186
1lb6,43,3,91.2445,94.9355,0.9400,0.9400,0.0400,0.7900,0.7950,0.9700,0.5012
1lb6,43,4,90.4855,94.8231,0.9400,0.9300,0.0300,0.7900,0.8000,0.9600,0.5686
1lb6,44,0,91.5864,94.9276,0.9400,0.9400,0.0400,0.7900,0.7950,0.9700,0.3652
1lb6,44,1,90.9609,94.7086,0.9400,0.9300,0.0300,0.7900,0.7950,0.9600,0.4276
1lb6,44,2,90.7005,94.6205,0.9400,0.9300,0.0300,0.8000,0.8050,0.9600,0.4257
1lb6,44,3,90.7120,94.6278,0.9300,0.9300,0.0300,0.8000,0.8100,0.9600,0.5428
1lb6,44,4,90.9576,94.6810,0.9400,0.9300,0.0300,0.7900,0.8000,0.9600,0.3801
1mf4,42,0,60.0668,94.0112,0.5700,0.9100,0.0200,3.3100,4.3200,0.6600,3.9812
1mf4,42,1,60.2237,94.2141,0.6100,0.9200,0.0200,3.1300,3.9500,0.7000,4.3333
1mf4,42,2,58.0741,94.0206,0.5500,0.9100,0.0200,3.9700,4.9250,0.6400,3.0313
1mf4,42,3,61.5210,94.3194,0.6200,0.9200,0.0200,3.1600,3.9100,0.7000,4.2919
1mf4,42,4,59.1859,94.0461,0.5900,0.9200,0.0200,3.3300,4.1050,0.6800,4.3321
1mf4,43,0,57.6244,94.4762,0.5700,0.9200,0.0200,3.6500,4.4150,0.6600,4.6656
1mf4,43,1,60.4307,94.6409,0.6100,0.9200,0.0200,3.3900,4.1150,0.6900,5.3506
1mf4,43,2,64.5456,94.8156,0.6600,0.9300,0.0200,2.8800,3.6900,0.7300,2.6859
1mf4,43,3,61.7463,94.7715,0.6400,0.9300,0.0200,2.9100,3.9550,0.7200,5.1580
1mf4,43,4,66.4288,95.0404,0.6800,0.9300,0.0200,2.7400,3.3150,0.7500,2.4115
1mf4,44,0,58.8361,93.8878,0.5800,0.9200,0.0200,3.7300,4.5600,0.6700,2.3686
1mf4,44,1,58.0866,94.0330,0.6000,0.9200,0.0200,3.4500,4.5000,0.6900,4.1572
1mf4,44,2,62.5637,94.2431,0.6400,0.9200,0.0200,2.8900,3.6200,0.7100,2.2671
1mf4,44,3,60.3410,94.1105,0.6200,0.9200,0.0200,3.0400,3.8200,0.7000,2.6178
1mf4,44,4,59.7139,94.1160,0.6300,0.9200,0.0200,3.1600,4.2050,0.7100,4.5598
1mv0,42,0,72.6562,81.3403,0.5500,0.7100,0.0100,2.5600,2.9050,0.6500,6.5806
1mv0,42,1,74.6009,82.5504,0.6100,0.7400,0.0100,2.2400,2.7850,0.7100,5.3611
1mv0,42,2,74.5313,83.4323,0.5800,0.7400,0.0100,2.4500,3.0200,0.6900,6.3063
1mv0,42,3,73.1350,82.8596,0.5800,0.7400,0.0100,2.6100,2.9250,0.6900,4.5878
1mv0,42,4,75.3443,82.8851,0.6000,0.7400,0.0100,2.3900,2.7250,0.7100,5.9045
1mv0,43,0,68.6691,80.9310,0.5200,0.7200,0.0100,2.9400,3.8100,0.6300,3.0627
1mv0,43,1,71.3708,82.1985,0.5300,0.7300,0.0100,2.8400,3.5450,0.6400,6.3800
1mv0,43,2,71.9966,82.4383,0.5400,0.7200,0.0100,2.8200,3.4150,0.6500,5.8073
1mv0,43,3,70.8412,80.0780,0.4800,0.6900,0.0100,3.2000,3.8500,0.6000,4.6306
1mv0,43,4,74.2386,83.4542,0.5900,0.7400,0.0100,2.3000,2.5950,0.6900,6.1160
1mv0,44,0,69.7261,81.6343,0.4600,0.7100,0.0100,3.3000,3.8000,0.5800,5.9333
1mv0,44,1,73.5173,83.0023,0.5900,0.7400,0.0100,2.4400,2.9900,0.6900,5.2800
1mv0,44,2,73.2667,83.1722,0.5900,0.7400,0.0100,2.3600,2.8650,0.6900,5.5929
1mv0,44,3,73.3251,81.3718,0.5500,0.6900,0.0100,2.3400,2.9600,0.6500,7.7920
1mv0,44,4,72.8781,81.3086,0.5600,0.7100,0.0100,2.6800,3.0650,0.6600,4.9038
1nrl,42,0,89.7595,90.6573,0.9600,0.9200,0.0300,0.8400,0.8550,0.9700,0.6517
1nrl,42,1,90.1105,90.1554,0.9600,0.9200,0.0300,0.8600,0.8750,0.9700,0.6923
1nrl,42,2,89.5427,90.6967,0.9500,0.9200,0.0300,0.8400,0.8600,0.9700,0.8718
1nrl,42,3,89.5255,90.4375,0.9500,0.9200,0.0300,0.8500,0.8650,0.9700,0.6690
1nrl,42,4,90.0836,91.1396,0.9600,0.9300,0.0400,0.8300,0.8350,0.9800,0.6221
1nrl,43,0,90.2856,90.6802,0.9600,0.9200,0.0400,0.8400,0.8500,0.9800,0.8033
1nrl,43,1,88.9565,90.7761,0.9500,0.9200,0.0300,0.8600,0.8800,0.9700,0.6820
1nrl,43,2,89.2203,91.1364,0.9500,0.9300,0.0300,0.8500,0.8700,0.9700,0.7167
1nrl,43,3,89.6248,91.2371,0.9500,0.9300,0.0300,0.8300,0.8500,0.9800,0.7149
1nrl,43,4,89.8687,90.9056,0.9500,0.9300,0.0400,0.8300,0.8550,0.9700,0.6397
1nrl,44,0,90.5283,90.9449,0.9600,0.9200,0.0400,0.8300,0.8400,0.9800,0.6835
1nrl,44,1,89.9664,91.1549,0.9500,0.9300,0.0300,0.8500,0.8650,0.9700,0.6999
1nrl,44,2,89.4753,90.5527,0.9500,0.9200,0.0300,0.8600,0.8800,0.9700,0.6582
1nrl,44,3,89.8877,91.2074,0.9500,0.9300,0.0300,0.8400,0.8600,0.9700,0.6207
1nrl,44,4,90.1673,90.4551,0.9600,0.9200,0.0400,0.8400,0.8550,0.9700,0.7399
1nvq,42,0,45.4870,92.5465,0.5100,0.9300,0.0200,7.4900,8.0150,0.6000,0.7477
1nvq,42,1,42.5373,92.2354,0.4500,0.9300,0.0200,8.7700,9.2650,0.5500,1.0548
1nvq,42,2,44.4110,92.5769,0.4900,0.9300,0.0200,7.7100,8.4600,0.5900,0.4353
1nvq,42,3,42.9887,92.4863,0.4600,0.9300,0.0200,8.4300,9.1450,0.5600,0.6070
1nvq,42,4,42.1810,92.0468,0.4300,0.9300,0.0200,9.1400,9.8450,0.5400,0.8923
1nvq,43,0,45.5083,92.9008,0.5200,0.9400,0.0200,7.4700,8.1950,0.6100,0.6159
1nvq,43,1,46.2820,92.9754,0.5300,0.9400,0.0200,7.1400,7.8700,0.6200,0.5910
1nvq,43,2,44.9183,92.6886,0.5000,0.9400,0.0200,7.6300,8.3150,0.6000,0.5769
1nvq,43,3,46.3577,93.0763,0.5400,0.9400,0.0200,6.7400,7.6450,0.6300,0.7308
1nvq,43,4,46.3827,93.1559,0.5300,0.9400,0.0200,7.1500,7.9150,0.6200,0.7899
1nvq,44,0,44.1260,92.5302,0.4800,0.9300,0.0200,8.2200,8.8250,0.5800,1.0177
1nvq,44,1,43.3487,92.6974,0.4800,0.9300,0.0200,8.2300,8.8800,0.5800,0.9601
1nvq,44,2,43.6993,92.9597,0.4800,0.9300,0.0200,7.8400,8.7100,0.5800,0.7979
1nvq,44,3,45.3453,92.9537,0.5100,0.9300,0.0200,7.6300,8.2050,0.6000,0.6443
1nvq,44,4,44.3350,92.7866,0.4900,0.9300,0.0200,8.1000,8.7400,0.5900,0.2988
1o0p,42,0,60.0360,87.0044,0.4800,0.8000,0.0100,2.1000,2.4050,0.6000,5.6473
1o0p,42,1,57.9537,83.6975,0.4600,0.7600,0.0100,2.4600,2.8950,0.5700,4.3834
