complex,seed,id,ipSAE_max,ipSAE_min
1jd5,42,2,0.855294,0.520115
1jd5,42,3,0.849242,0.512668
1jd5,42,4,0.856535,0.525134
1jd5,43,0,0.851712,0.522481
1jd5,43,1,0.842541,0.50428
1jd5,43,2,0.852289,0.529042
1jd5,43,3,0.852877,0.529042
1jd5,43,4,0.858442,0.529042
1jd5,44,0,0.854498,0.520115
1jd5,44,1,0.856705,0.526676
1jd5,44,2,0.852091,0.522481
1jd5,44,3,0.853153,0.525134
1jd5,44,4,0.851511,0.536201
1jq8,42,0,0.054302,0.027376
1jq8,42,1,0.098236,0.0678
1jq8,42,2,0.094559,0.06422
1jq8,42,3,0.109796,0.078042
1jq8,42,4,0.14585,0.082454
1jq8,43,0,0.068661,0.063887
1jq8,43,1,0.06358,0.06193
1jq8,43,2,0.117972,0.075707
1jq8,43,3,0.157894,0.081183
1jq8,43,4,0.064073,0.061094
1jq8,44,0,0.086721,0.067913
1jq8,44,1,0.075056,0.062739
1jq8,44,2,0.099002,0.076903
1jq8,44,3,0.089352,0.071156
1jq8,44,4,0.109213,0.067508
1jw6,42,0,0.012195,0.011118
1jw6,42,1,0.019451,0.011778
1jw6,42,2,0.01288,0.012749
1jw6,42,3,0.012749,0.011191
1jw6,42,4,0.015365,0.012136
1jw6,43,0,0.01143,0.01052
1jw6,43,1,0.017876,0.013268
1jw6,43,2,0.01334,0.0
1jw6,43,3,0.0101,0.0
1jw6,43,4,0.014768,0.012136
1jw6,44,0,0.020247,0.013494
1jw6,44,1,0.01312,0.01143
1jw6,44,2,0.012037,0.011445
1jw6,44,3,0.018925,0.011804
1jw6,44,4,0.017489,0.012497
1l2z,42,0,0.463488,0.157622
1l2z,42,1,0.505348,0.170453
1l2z,42,2,0.490375,0.170476
1l2z,42,3,0.440039,0.160433
1l2z,42,4,0.44749,0.141827
1l2z,43,0,0.485623,0.16794
1l2z,43,1,0.43102,0.155222
1l2z,43,2,0.510255,0.185889
1l2z,43,3,0.455139,0.166075
1l2z,43,4,0.461077,0.144887
1l2z,44,0,0.465877,0.142946
1l2z,44,1,0.447589,0.164746
1l2z,44,2,0.510581,0.169197
1l2z,44,3,0.482226,0.164186
1l2z,44,4,0.531496,0.187312
1lb6,42,0,0.870546,0.460921
1lb6,42,1,0.872763,0.465009
1lb6,42,2,0.885657,0.484103
1lb6,42,3,0.87778,0.471373
1lb6,42,4,0.873943,0.459914
1lb6,43,0,0.881407,0.472601
1lb6,43,1,0.873154,0.465009
1lb6,43,2,0.871293,0.455175
1lb6,43,3,0.881463,0.484103
1lb6,43,4,0.874424,0.465009
1lb6,44,0,0.883162,0.48787
1lb6,44,1,0.874469,0.462032
1lb6,44,2,0.875465,0.465009
1lb6,44,3,0.867606,0.462032
1lb6,44,4,0.874587,0.465009
1mf4,42,0,0.05089,0.020011
1mf4,42,1,0.062311,0.0563
1mf4,42,2,0.04494,0.016447
1mf4,42,3,0.117472,0.063388
1mf4,42,4,0.056022,0.034742
1mf4,43,0,0.052837,0.019763
1mf4,43,1,0.069894,0.061877
1mf4,43,2,0.116753,0.080379
1mf4,43,3,0.077571,0.076254
1mf4,43,4,0.145628,0.086661
1mf4,44,0,0.052501,0.027715
1mf4,44,1,0.056981,0.042323
1mf4,44,2,0.100367,0.068482
1mf4,44,3,0.098097,0.065952
1mf4,44,4,0.074185,0.064465
1mv0,42,0,0.167458,0.074831
1mv0,42,1,0.199292,0.092457
1mv0,42,2,0.182795,0.08171
1mv0,42,3,0.174894,0.081233
1mv0,42,4,0.228538,0.091165
1mv0,43,0,0.056861,0.055751
1mv0,43,1,0.099329,0.067457
1mv0,43,2,0.101956,0.068893
1mv0,43,3,0.052118,0.050033
1mv0,43,4,0.198082,0.087771
1mv0,44,0,0.040974,0.018189
1mv0,44,1,0.179091,0.084737
1mv0,44,2,0.200735,0.085897
1mv0,44,3,0.135808,0.073053
1mv0,44,4,0.186563,0.072276
1nrl,42,0,0.858123,0.404655
1nrl,42,1,0.847297,0.395286
1nrl,42,2,0.847942,0.388971
1nrl,42,3,0.853102,0.389817
1nrl,42,4,0.870892,0.418959
1nrl,43,0,0.860923,0.412931
1nrl,43,1,0.855391,0.381328
1nrl,43,2,0.856467,0.378915
1nrl,43,3,0.86833,0.402166
1nrl,43,4,0.862514,0.396483
1nrl,44,0,0.865798,0.427719
1nrl,44,1,0.860438,0.399323
1nrl,44,2,0.850743,0.384355
1nrl,44,3,0.861593,0.393774
1nrl,44,4,0.856152,0.40246
1nvq,42,0,0.014762,0.013652
1nvq,42,1,0.012072,0.0101
1nvq,42,2,0.013617,0.011097
1nvq,42,3,0.012198,0.010305
1nvq,42,4,0.011434,0.0
1nvq,43,0,0.015581,0.012195
1nvq,43,1,0.016499,0.01304
1nvq,43,2,0.014327,0.011932
1nvq,43,3,0.017146,0.013652
1nvq,43,4,0.016334,0.012749
1nvq,44,0,0.012698,0.010529
1nvq,44,1,0.012753,0.010738
1nvq,44,2,0.013343,0.011191
1nvq,44,3,0.01414,0.011492
1nvq,44,4,0.013139,0.01143
1o0p,42,0,0.255443,0.051409
1o0p,42,1,0.221652,0.047075
1o0p,42,2,0.423326,0.094378
1o0p,42,3,0.146022,0.03617
1o0p,42,4,0.288798,0.051595
1o0p,43,0,0.321082,0.059054
1o0p,43,1,0.12982,0.038099
1o0p,43,2,0.288662,0.053891
1o0p,43,3,0.297816,0.053103
1o0p,43,4,0.305014,0.054439
1o0p,44,0,0.199124,0.042216
1o0p,44,1,0.248557,0.053235
1o0p,44,2,0.176488,0.04042
1o0p,44,3,0.125829,0.035691
1o0p,44,4,0.319443,0.059288
1p7v,42,0,0.185151,0.058415
1p7v,42,1,0.09745,0.051462
1p7v,42,2,0.126851,0.054101
1p7v,42,3,0.093131,0.050265
1p7v,42,4,0.179644,0.056696
1p7v,43,0,0.14024,0.058599
1p7v,43,1,0.03724,0.019625
1p7v,43,2,0.038289,0.025055
1p7v,43,3,0.037286,0.033146
1p7v,43,4,0.037761,0.01528
1p7v,44,0,0.20851,0.058963
1p7v,44,1,0.092743,0.047607
1p7v,44,2,0.134117,0.058714
1p7v,44,3,0.079481,0.043222
1p7v,44,4,0.106194,0.04735
1pmx,42,0,0.565604,0.281696
1pmx,42,1,0.52459,0.234189
1pmx,42,2,0.604159,0.322034
1pmx,42,3,0.536318,0.23509
1pmx,42,4,0.548902,0.263512
1pmx,43,0,0.602677,0.324902
1pmx,43,1,0.511986,0.230993
1pmx,43,2,0.534436,0.229171
1pmx,43,3,0.550034,0.255302
1pmx,43,4,0.52598,0.219771
1pmx,44,0,0.559379,0.265724
1pmx,44,1,0.534121,0.257426
1pmx,44,2,0.564955,0.283996
1pmx,44,3,0.539074,0.2486
1pmx,44,4,0.544219,0.276239
1r17,42,0,0.897236,0.376636
1r17,42,1,0.888098,0.36419
1r17,42,2,0.904876,0.396503
1r17,42,3,0.898417,0.379351
1r17,42,4,0.900262,0.381407
1r17,43,0,0.910353,0.388768
1r17,43,1,0.907679,0.396182
1r17,43,2,0.908394,0.392471
1r17,43,3,0.895447,0.367515
1r17,43,4,0.898733,0.378792
1r17,44,0,0.899028,0.375522
1r17,44,1,0.901026,0.3855
1r17,44,2,0.903954,0.377891
1r17,44,3,0.901668,0.394637
1r17,44,4,0.900887,0.394637
1rxz,42,0,0.869531,0.445063
1rxz,42,1,0.879292,0.450145
1rxz,42,2,0.864327,0.439912
1rxz,42,3,0.865356,0.441025
1rxz,42,4,0.882679,0.461153
1rxz,43,0,0.863833,0.434705
1rxz,43,1,0.866957,0.439856
1rxz,43,2,0.870309,0.442263
1rxz,43,3,0.858826,0.42819
1rxz,43,4,0.878369,0.459199
1rxz,44,0,0.874191,0.456283
1rxz,44,1,0.876248,0.452484
1rxz,44,2,0.870311,0.441025
1rxz,44,3,0.872756,0.447229
1rxz,44,4,0.869768,0.44199
1t74,42,0,0.482473,0.204942
1t74,42,1,0.543803,0.24913
1t74,42,2,0.531857,0.220952
1t74,42,3,0.528428,0.235077
1t74,42,4,0.548014,0.243787
1t74,43,0,0.420299,0.183123
1t74,43,1,0.481951,0.202204
1t74,43,2,0.488908,0.20506
1t74,43,3,0.470978,0.194855
1t74,43,4,0.405393,0.185163
1t74,44,0,0.51251,0.216598
1t74,44,1,0.506328,0.229418
1t74,44,2,0.514586,0.214483
1t74,44,3,0.486435,0.207619
1t74,44,4,0.511816,0.21861
1v1t,42,0,0.737148,0.504484
1v1t,42,1,0.74821,0.510513
1v1t,42,2,0.73472,0.499125
1v1t,42,3,0.747669,0.515938
1v1t,42,4,0.739141,0.504484
1v1t,43,0,0.75731,0.499125
1v1t,43,1,0.75617,0.504484
1v1t,43,2,0.736852,0.499125
1v1t,43,3,0.756038,0.521967
1v1t,43,4,0.757649,0.499125
1v1t,44,0,0.764261,0.521967
1v1t,44,1,0.765656,0.515938
1v1t,44,2,0.754049,0.521967
1v1t,44,3,0.761768,0.521967
1v1t,44,4,0.746478,0.504484
1w80,42,0,0.728683,0.299055
1w80,42,1,0.686081,0.275926
1w80,42,2,0.696088,0.276367
1w80,42,3,0.690544,0.270157
1w80,42,4,0.719053,0.295214
1w80,43,0,0.731534,0.307972
1w80,43,1,0.708151,0.290089
1w80,43,2,0.740999,0.315755
1w80,43,3,0.692532,0.291814
1w80,43,4,0.694377,0.276922
1w80,44,0,0.755338,0.31857
1w80,44,1,0.723945,0.295512
1w80,44,2,0.735488,0.300151
1w80,44,3,0.713687,0.291222
1w80,44,4,0.721088,0.294362
1yfn,42,0,0.652186,0.188507
1yfn,42,1,0.591346,0.13505
1yfn,42,2,0.612836,0.144916
1yfn,42,3,0.664387,0.179322
1yfn,42,4,0.594537,0.148142
1yfn,43,0,0.586019,0.137948
1yfn,43,1,0.643309,0.154428
1yfn,43,2,0.573077,0.123056
1yfn,43,3,0.613193,0.152228
1yfn,43,4,0.638381,0.160913
1yfn,44,0,0.521828,0.106213
1yfn,44,1,0.581627,0.141939
1yfn,44,2,0.570256,0.128257
1yfn,44,3,0.515403,0.113416
1yfn,44,4,0.496793,0.094622
1ywi,42,0,0.445318,0.34946
1ywi,42,1,0.373892,0.305266
1ywi,42,2,0.372984,0.305172
1ywi,42,3,0.388978,0.304143
1ywi,42,4,0.443747,0.365701
1ywi,43,0,0.473174,0.405501
1ywi,43,1,0.430919,0.343023
1ywi,43,2,0.42457,0.326672
1ywi,43,3,0.35444,0.267619
1ywi,43,4,0.428294,0.320786
1ywi,44,0,0.466826,0.38614
1ywi,44,1,0.356555,0.296434
1ywi,44,2,0.451666,0.352484
1ywi,44,3,0.440294,0.352604
1ywi,44,4,0.467522,0.366497
1ywo,42,0,0.619204,0.336076
1ywo,42,1,0.574829,0.294805
1ywo,42,2,0.599353,0.320284
1ywo,42,3,0.588399,0.329639
1ywo,42,4,0.58187,0.304579
1ywo,43,0,0.605394,0.326248
1ywo,43,1,0.62988,0.333566
1ywo,43,2,0.608205,0.322191
1ywo,43,3,0.584814,0.311608
1ywo,43,4,0.629094,0.330748
1ywo,44,0,0.61885,0.321902
1ywo,44,1,0.638658,0.338317
1ywo,44,2,0.597885,0.288496
1ywo,44,3,0.593356,0.304778
1ywo,44,4,0.585534,0.300772
1yy6,42,0,0.897357,0.540698
1yy6,42,1,0.903849,0.55079
1yy6,42,2,0.895598,0.540698
1yy6,42,3,0.902558,0.553188
1yy6,42,4,0.905098,0.553188
1yy6,43,0,0.898768,0.540698
1yy6,43,1,0.89638,0.545459
1yy6,43,2,0.896935,0.545459
1yy6,43,3,0.900698,0.545459
1yy6,43,4,0.902517,0.548949
1yy6,44,0,0.897336,0.545459
1yy6,44,1,0.898126,0.545459
1yy6,44,2,0.894767,0.540698
1yy6,44,3,0.901421,0.55079
1yy6,44,4,0.899987,0.545459
2aij,42,0,0.623532,0.233903
2aij,42,1,0.627208,0.241073
2aij,42,2,0.615104,0.230872
2aij,42,3,0.644263,0.260546
2aij,42,4,0.636895,0.241933
2aij,43,0,0.68221,0.28485
2aij,43,1,0.652906,0.26393
2aij,43,2,0.640765,0.25492
2aij,43,3,0.644901,0.247292
2aij,43,4,0.642219,0.250676
2aij,44,0,0.687364,0.305382
2aij,44,1,0.694126,0.305382
2aij,44,2,0.650362,0.265905
2aij,44,3,0.672777,0.288635
2aij,44,4,0.701875,0.312164
2aq9,42,0,0.800842,0.305291
2aq9,42,1,0.792111,0.289239
2aq9,42,2,0.8062,0.31136
2aq9,42,3,0.798599,0.300957
2aq9,42,4,0.803012,0.308457
2aq9,43,0,0.779281,0.274131
2aq9,43,1,0.798317,0.296305
2aq9,43,2,0.797952,0.304112
2aq9,43,3,0.796504,0.303221
2aq9,43,4,0.796599,0.300395
2aq9,44,0,0.794456,0.289755
2aq9,44,1,0.797476,0.301909
2aq9,44,2,0.784044,0.286929
2aq9,44,3,0.795876,0.290995
2aq9,44,4,0.808867,0.314864
2c3i,42,0,0.885087,0.401206
2c3i,42,1,0.884824,0.396445
2c3i,42,2,0.881399,0.381587
2c3i,42,3,0.885444,0.391145
2c3i,42,4,0.891541,0.40333
2c3i,43,0,0.891032,0.403101
2c3i,43,1,0.887339,0.386209
2c3i,43,2,0.887834,0.403101
2c3i,43,3,0.882623,0.383289
2c3i,43,4,0.878904,0.385772
2c3i,44,0,0.881317,0.380056
2c3i,44,1,0.887198,0.392676
2c3i,44,2,0.884754,0.387273
2c3i,44,3,0.881833,0.387273
2c3i,44,4,0.881438,0.383035
2cch,42,0,0.775066,0.330885
2cch,42,1,0.80823,0.350194
2cch,42,2,0.780275,0.30795
2cch,42,3,0.799007,0.343496
2cch,42,4,0.834559,0.376908
2cch,43,0,0.80581,0.339178
2cch,43,1,0.793744,0.342086
2cch,43,2,0.763779,0.306411
2cch,43,3,0.822512,0.341197
2cch,43,4,0.802124,0.335801
2cch,44,0,0.832053,0.37626
2cch,44,1,0.808241,0.345161
2cch,44,2,0.802916,0.319987
2cch,44,3,0.810922,0.350494
2cch,44,4,0.786104,0.320278
2cny,42,0,0.890809,0.448848
2cny,42,1,0.897821,0.464751
2cny,42,2,0.889274,0.443829
2cny,42,3,0.891885,0.454905
2cny,42,4,0.888147,0.448848
2cny,43,0,0.891036,0.449645
2cny,43,1,0.897683,0.463141
2cny,43,2,0.893177,0.454905
2cny,43,3,0.888597,0.441328
2cny,43,4,0.891167,0.454905
2cny,44,0,0.897155,0.465642
2cny,44,1,0.894618,0.45941
2cny,44,2,0.887532,0.451862
2cny,44,3,0.88951,0.454905
2cny,44,4,0.887104,0.454107
2e4h,42,0,0.768408,0.224762
2e4h,42,1,0.786697,0.209826
2e4h,42,2,0.737362,0.261487
2e4h,42,3,0.768265,0.217152
2e4h,42,4,0.780051,0.222248
2e4h,43,0,0.789158,0.24132
2e4h,43,1,0.745562,0.250222
2e4h,43,2,0.746018,0.209677
2e4h,43,3,0.782869,0.228153
2e4h,43,4,0.789569,0.237192
2e4h,44,0,0.788083,0.211166
2e4h,44,1,0.747791,0.209604
2e4h,44,2,0.79393,0.260661
2e4h,44,3,0.786597,0.228024
2e4h,44,4,0.765683,0.218717
2fgr,42,0,0.022093,0.012949
2fgr,42,1,0.022174,0.012472
2fgr,42,2,0.0234,0.013534
2fgr,42,3,0.019533,0.012346
2fgr,42,4,0.038695,0.023411
2fgr,43,0,0.021811,0.013361
2fgr,43,1,0.022033,0.01358
2fgr,43,2,0.020807,0.014009
2fgr,43,3,0.02102,0.012694
2fgr,43,4,0.020993,0.013279
2fgr,44,0,0.026452,0.013887
2fgr,44,1,0.025789,0.013601
2fgr,44,2,0.017192,0.011391
2fgr,44,3,0.019874,0.01291
2fgr,44,4,0.021207,0.012719
2fka,42,0,0.602116,0.219017
2fka,42,1,0.655176,0.25012
2fka,42,2,0.532906,0.182442
2fka,42,3,0.55459,0.19159
2fka,42,4,0.603332,0.206227
2fka,43,0,0.611351,0.235548
2fka,43,1,0.589246,0.216672
2fka,43,2,0.582128,0.206118
2fka,43,3,0.568334,0.198578
2fka,43,4,0.624321,0.221041
2fka,44,0,0.615343,0.22889
2fka,44,1,0.612245,0.226975
2fka,44,2,0.622892,0.248895
2fka,44,3,0.582017,0.201224
2fka,44,4,0.574941,0.207359
2hpl,42,0,0.861604,0.506436
2hpl,42,1,0.858165,0.506436
2hpl,42,2,0.868138,0.521967
2hpl,42,3,0.859649,0.506436
2hpl,42,4,0.859751,0.499059
2hpl,43,0,0.862373,0.510513
2hpl,43,1,0.86238,0.521967
2hpl,43,2,0.855519,0.495939
2hpl,43,3,0.861537,0.510513
2hpl,43,4,0.863677,0.506436
2hpl,44,0,0.863753,0.510513
2hpl,44,1,0.849267,0.494982
2hpl,44,2,0.853039,0.49058
2hpl,44,3,0.865291,0.521967
2hpl,44,4,0.854817,0.499059
2ht9,42,0,0.02004,0.013652
2ht9,42,1,0.031734,0.030903
2ht9,42,2,0.078046,0.041935
2ht9,42,3,0.02597,0.013585
2ht9,42,4,0.024425,0.012296
2ht9,43,0,0.025844,0.013786
2ht9,43,1,0.216381,0.068048
2ht9,43,2,0.048962,0.035861
2ht9,43,3,0.15709,0.058447
2ht9,43,4,0.027541,0.013831
2ht9,44,0,0.026176,0.016867
2ht9,44,1,0.021437,0.012873
2ht9,44,2,0.170412,0.061066
2ht9,44,3,0.04139,0.034359
2ht9,44,4,0.030187,0.024326
2i94,42,0,0.01577,0.014526
2i94,42,1,0.016639,0.012747
2i94,42,2,0.018691,0.01806
2i94,42,3,0.014654,0.014109
2i94,42,4,0.016371,0.016062
2i94,43,0,0.212819,0.029469
2i94,43,1,0.116681,0.023839
2i94,43,2,0.129742,0.026206
2i94,43,3,0.187623,0.027086
2i94,43,4,0.127156,0.024322
2i94,44,0,0.047395,0.018131
2i94,44,1,0.016445,0.01301
2i94,44,2,0.092504,0.020524
2i94,44,3,0.035583,0.017886
2i94,44,4,0.108556,0.020702
2ivz,42,0,0.897198,0.376191
2ivz,42,1,0.899522,0.377543
2ivz,42,2,0.8992,0.378805
2ivz,42,3,0.902484,0.386924
2ivz,42,4,0.911746,0.403713
2ivz,43,0,0.889792,0.359713
2ivz,43,1,0.885547,0.347489
2ivz,43,2,0.894823,0.374444
2ivz,43,3,0.889733,0.36069
2ivz,43,4,0.888105,0.361264
2ivz,44,0,0.90048,0.374929
2ivz,44,1,0.902423,0.386924
2ivz,44,2,0.900135,0.378805
2ivz,44,3,0.904566,0.388934
2ivz,44,4,0.899573,0.376191
2jkg,42,0,0.027191,0.013454
2jkg,42,1,0.032268,0.020183
2jkg,42,2,0.032954,0.022752
2jkg,42,3,0.034031,0.018021
2jkg,42,4,0.0273,0.013478
2jkg,43,0,0.026442,0.013362
2jkg,43,1,0.035877,0.028262
2jkg,43,2,0.026208,0.013403
2jkg,43,3,0.0281,0.013657
2jkg,43,4,0.02612,0.013344
2jkg,44,0,0.037227,0.035359
2jkg,44,1,0.025101,0.013424
2jkg,44,2,0.031964,0.022245
2jkg,44,3,0.028882,0.013464
2jkg,44,4,0.029861,0.013868
2jnw,42,0,0.843694,0.407304
2jnw,42,1,0.831182,0.357912
2jnw,42,2,0.829421,0.372793
2jnw,42,3,0.828069,0.367825
2jnw,42,4,0.834536,0.377691
2jnw,43,0,0.843417,0.407304
2jnw,43,1,0.830939,0.36338
2jnw,43,2,0.832066,0.375292
2jnw,43,3,0.846895,0.394153
2jnw,43,4,0.838505,0.393257
2jnw,44,0,0.838405,0.375988
2jnw,44,1,0.818681,0.370109
2jnw,44,2,0.827106,0.375255
2jnw,44,3,0.82934,0.367144
2jnw,44,4,0.826514,0.352634
2jqk,42,0,0.279778,0.080065
2jqk,42,1,0.17494,0.063966
2jqk,42,2,0.266495,0.097613
2jqk,42,3,0.202897,0.069089
2jqk,42,4,0.091507,0.046832
2jqk,43,0,0.391933,0.099991
2jqk,43,1,0.313038,0.106581
2jqk,43,2,0.189174,0.075568
2jqk,43,3,0.188898,0.056311
2jqk,43,4,0.108352,0.053279
2jqk,44,0,0.282865,0.085328
2jqk,44,1,0.404637,0.128181
2jqk,44,2,0.29614,0.071446
2jqk,44,3,0.20845,0.090199
2jqk,44,4,0.310892,0.091442
2ka9,42,0,0.232432,0.041212
2ka9,42,1,0.503173,0.076181
2ka9,42,2,0.501894,0.089332
2ka9,42,3,0.55704,0.112158
2ka9,42,4,0.320268,0.049406
2ka9,43,0,0.312727,0.040199
2ka9,43,1,0.605685,0.126148
2ka9,43,2,0.530496,0.087222
2ka9,43,3,0.395752,0.06076
2ka9,43,4,0.434848,0.074315
2ka9,44,0,0.382421,0.050197
2ka9,44,1,0.300989,0.037835
2ka9,44,2,0.383057,0.053875
2ka9,44,3,0.282932,0.045886
2ka9,44,4,0.226989,0.037591
2kbr,42,0,0.688215,0.216202
2kbr,42,1,0.654528,0.224905
2kbr,42,2,0.641413,0.198431
2kbr,42,3,0.654073,0.193888
2kbr,42,4,0.720261,0.281142
2kbr,43,0,0.669052,0.19222
2kbr,43,1,0.703736,0.236628
2kbr,43,2,0.658438,0.193011
2kbr,43,3,0.715128,0.252146
2kbr,43,4,0.695416,0.253901
2kbr,44,0,0.698372,0.242129
2kbr,44,1,0.703248,0.239943
2kbr,44,2,0.699125,0.232654
2kbr,44,3,0.69362,0.242001
2kbr,44,4,0.706253,0.256704
2ke1,42,0,0.503057,0.292234
2ke1,42,1,0.516251,0.317824
2ke1,42,2,0.467093,0.274138
2ke1,42,3,0.526203,0.318619
2ke1,42,4,0.496857,0.278939
2ke1,43,0,0.519855,0.309266
2ke1,43,1,0.515551,0.33235
2ke1,43,2,0.51314,0.307071
2ke1,43,3,0.473163,0.280957
2ke1,43,4,0.530827,0.322413
2ke1,44,0,0.520382,0.338755
2ke1,44,1,0.509248,0.303572
2ke1,44,2,0.526134,0.318929
2ke1,44,3,0.528107,0.328815
2ke1,44,4,0.535039,0.324648
2khh,42,0,0.059588,0.033622
2khh,42,1,0.020192,0.014694
2khh,42,2,0.022987,0.015823
2khh,42,3,0.022069,0.015319
2khh,42,4,0.17285,0.076402
2khh,43,0,0.029826,0.024764
2khh,43,1,0.130892,0.055916
2khh,43,2,0.014026,0.011698
2khh,43,3,0.12132,0.05249
2khh,43,4,0.019176,0.015169
2khh,44,0,0.018841,0.015278
2khh,44,1,0.0173,0.013966
2khh,44,2,0.020941,0.014642
2khh,44,3,0.021537,0.014593
2khh,44,4,0.021422,0.01489
2koh,42,0,0.641336,0.13568
2koh,42,1,0.62957,0.180223
2koh,42,2,0.623283,0.119553
2koh,42,3,0.622769,0.1726
2koh,42,4,0.648689,0.152869
2koh,43,0,0.60654,0.171433
2koh,43,1,0.631869,0.170856
2koh,43,2,0.630779,0.17923
2koh,43,3,0.63126,0.157802
2koh,43,4,0.640747,0.171445
2koh,44,0,0.62278,0.141322
2koh,44,1,0.633184,0.171327
2koh,44,2,0.611452,0.168979
2koh,44,3,0.640693,0.130778
2koh,44,4,0.638979,0.160778
2las,42,0,0.328988,0.099154
2las,42,1,0.141758,0.057461
2las,42,2,0.378076,0.115401
2las,42,3,0.069194,0.040242
2las,42,4,0.241528,0.066895
2las,43,0,0.034292,0.016907
2las,43,1,0.153118,0.066951
2las,43,2,0.310798,0.096548
2las,43,3,0.0401,0.016572
2las,43,4,0.093195,0.039492
