complex,seed,id,pep_plDDT,plDDT,ipTM,pTM,pep_pTM,pAE_min,ipAE,ranking_score,scRMSD
1czy,42,4,79.9030,94.7734,0.8200,0.9200,0.0300,1.0400,1.0750,0.8700,2.8484
1czy,43,0,74.8678,94.3543,0.7700,0.9200,0.0200,1.8700,2.0500,0.8300,6.1605
1czy,43,1,57.6983,93.4898,0.5600,0.9100,0.0100,3.8500,4.6750,0.6500,3.5375
1czy,43,2,60.1307,93.5040,0.5800,0.9100,0.0200,3.7400,4.5650,0.6700,3.6746
1czy,43,3,57.9296,93.0735,0.5700,0.9100,0.0100,4.1500,4.8950,0.6600,3.8689
1czy,43,4,59.2407,93.1167,0.5800,0.9100,0.0100,3.6300,4.5250,0.6700,3.3836
1czy,44,0,85.9411,95.0540,0.8800,0.9200,0.0300,0.9700,1.0150,0.9200,0.5665
1czy,44,1,86.1346,94.9071,0.8800,0.9200,0.0300,0.9700,1.0150,0.9100,0.8930
1czy,44,2,85.0163,94.8021,0.8700,0.9200,0.0300,0.9900,1.0650,0.9100,0.8083
1czy,44,3,80.9356,94.5187,0.8300,0.9200,0.0300,1.0100,1.0700,0.8800,2.7578
1czy,44,4,82.4035,95.0015,0.8600,0.9200,0.0300,0.9900,1.0400,0.9100,2.8179
1ddv,42,0,69.0209,93.2240,0.5500,0.8900,0.0200,3.6500,4.3300,0.6500,1.7814
1ddv,42,1,66.7215,92.9547,0.5300,0.8900,0.0200,3.8700,4.6950,0.6300,1.6370
1ddv,42,2,67.7989,93.1277,0.5400,0.8900,0.0200,3.6700,4.5950,0.6400,0.8604
1ddv,42,3,66.2889,93.0053,0.5100,0.8900,0.0200,4.3700,4.7300,0.6100,3.8974
1ddv,42,4,68.7313,93.2277,0.5700,0.9000,0.0200,3.5000,4.2250,0.6600,1.7241
1ddv,43,0,69.2283,93.2859,0.5600,0.8900,0.0200,3.6300,4.2700,0.6500,1.6113
1ddv,43,1,68.4830,93.0328,0.5500,0.8900,0.0200,3.6200,4.2000,0.6400,1.5719
1ddv,43,2,68.7787,93.2257,0.5600,0.8900,0.0200,3.6300,4.3250,0.6500,1.5404
1ddv,43,3,64.3167,92.4749,0.4700,0.8800,0.0200,4.3700,5.7050,0.5800,2.0874
1ddv,43,4,64.3909,92.7840,0.5000,0.8900,0.0200,4.1900,4.7500,0.6000,2.4472
1ddv,44,0,68.6893,92.8474,0.5600,0.8900,0.0200,3.7500,4.6400,0.6500,2.0613
1ddv,44,1,74.0533,93.0762,0.5800,0.8900,0.0300,3.6600,3.9750,0.6700,5.4675
1ddv,44,2,75.6824,93.6514,0.6600,0.9000,0.0300,3.0100,3.4150,0.7400,5.6765
1ddv,44,3,68.3557,93.2819,0.5700,0.9000,0.0200,3.6200,4.0350,0.6600,0.7186
1ddv,44,4,66.6167,92.8228,0.5100,0.8900,0.0200,4.0800,4.6500,0.6100,1.3277
1eg4,42,0,78.0239,94.4853,0.8500,0.9500,0.0200,1.1100,1.1100,0.8900,4.0792
1eg4,42,1,77.4582,94.5085,0.8400,0.9400,0.0200,1.0400,1.0900,0.8800,4.4512
1eg4,42,2,77.9862,94.6403,0.8500,0.9500,0.0200,1.0500,1.0850,0.8900,4.9056
1eg4,42,3,76.5521,94.5702,0.8400,0.9500,0.0200,1.0300,1.0700,0.8800,5.9556
1eg4,42,4,78.0013,94.5900,0.8500,0.9500,0.0200,1.1300,1.1650,0.8900,3.3964
1eg4,43,0,77.2522,94.5319,0.8500,0.9500,0.0200,1.0400,1.0750,0.9000,4.2344
1eg4,43,1,77.8157,94.6767,0.8500,0.9500,0.0200,1.1100,1.1450,0.8900,2.8716
1eg4,43,2,78.2507,94.5107,0.8500,0.9500,0.0200,1.0800,1.0850,0.9000,3.5307
1eg4,43,3,76.6399,94.4136,0.8300,0.9400,0.0200,1.1500,1.2050,0.8800,3.9589
1eg4,43,4,78.9548,95.0308,0.8800,0.9500,0.0200,0.9100,0.9400,0.9200,5.5258
1eg4,44,0,77.4903,94.7711,0.8500,0.9500,0.0200,1.0800,1.1150,0.9000,3.2014
1eg4,44,1,74.8313,94.3724,0.8300,0.9500,0.0200,1.1500,1.1550,0.8700,5.2941
1eg4,44,2,75.5087,94.5795,0.8300,0.9400,0.0200,0.9900,1.0450,0.8800,2.8707
1eg4,44,3,75.7208,94.5468,0.8400,0.9500,0.0200,1.0200,1.0550,0.8800,5.9520
1eg4,44,4,75.5752,94.4099,0.8300,0.9400,0.0200,1.0300,1.0600,0.8800,5.8795
1f47,42,0,79.9924,90.5581,0.8300,0.9100,0.0200,1.0600,1.0900,0.9000,1.4380
1f47,42,1,83.3296,90.8251,0.8500,0.9000,0.0300,1.0700,1.1200,0.9100,2.0605
1f47,42,2,82.7274,90.9436,0.8500,0.9100,0.0300,0.9300,0.9600,0.9200,1.2622
1f47,42,3,82.5487,91.3247,0.8500,0.9100,0.0200,0.9500,0.9750,0.9200,1.4300
1f47,42,4,84.9531,91.6959,0.8700,0.9200,0.0300,0.9400,0.9700,0.9300,1.8902
1f47,43,0,83.1796,91.0814,0.8500,0.9100,0.0300,0.9700,1.0050,0.9200,1.7270
1f47,43,1,84.9452,91.3181,0.8700,0.9100,0.0300,0.9700,1.0000,0.9300,2.3929
1f47,43,2,80.9269,90.7296,0.8300,0.9100,0.0200,1.0200,1.0600,0.9000,1.3387
1f47,43,3,79.1331,90.7174,0.8200,0.9100,0.0200,1.1200,1.1550,0.8900,1.0827
1f47,43,4,85.9416,91.5740,0.8900,0.9200,0.0300,0.9000,0.9150,0.9500,1.9830
1f47,44,0,84.4516,90.9686,0.8600,0.9100,0.0300,0.9900,1.0150,0.9300,1.9644
1f47,44,1,84.6723,91.0381,0.8600,0.9100,0.0300,0.9600,0.9950,0.9200,2.3077
1f47,44,2,82.1103,90.8249,0.8400,0.9000,0.0200,1.0000,1.0350,0.9000,1.6020
1f47,44,3,84.1810,90.9230,0.8500,0.9000,0.0300,1.0200,1.0500,0.9200,1.8689
1f47,44,4,81.9707,90.5930,0.8300,0.9000,0.0200,1.0200,1.0550,0.9000,1.6099
1f8h,42,0,82.1994,88.0296,0.7500,0.7800,0.0300,1.5000,1.6200,0.7800,1.9500
1f8h,42,1,83.1578,88.1590,0.7500,0.7800,0.0300,1.3700,1.5850,0.7800,1.4495
1f8h,42,2,81.9639,87.7427,0.7400,0.7800,0.0300,1.4400,1.6100,0.7800,1.5879
1f8h,42,3,81.7969,86.5513,0.7400,0.7600,0.0300,1.5400,1.6350,0.7700,1.2092
1f8h,42,4,82.1804,88.3073,0.7400,0.7800,0.0300,1.4300,1.5900,0.7800,1.2568
1f8h,43,0,83.5445,87.1061,0.7500,0.7600,0.0300,1.4300,1.5700,0.7800,1.6943
1f8h,43,1,83.5441,88.5033,0.7400,0.7700,0.0300,1.5100,1.6150,0.7800,1.4968
1f8h,43,2,83.3843,88.2344,0.7300,0.7700,0.0300,1.4800,1.6600,0.7700,1.3306
1f8h,43,3,83.0190,88.9346,0.7400,0.7800,0.0300,1.4100,1.6300,0.7700,1.7980
1f8h,43,4,83.6622,89.8480,0.7300,0.7900,0.0300,1.4200,1.6300,0.7700,1.6890
1f8h,44,0,83.3045,88.0749,0.7500,0.7800,0.0300,1.4800,1.6300,0.7900,2.1083
1f8h,44,1,82.4782,86.8678,0.7300,0.7600,0.0300,1.5600,1.6850,0.7700,1.8827
1f8h,44,2,83.1761,88.2085,0.7400,0.7700,0.0300,1.3700,1.5450,0.7800,1.7906
1f8h,44,3,82.3229,86.3579,0.7500,0.7600,0.0300,1.4800,1.6850,0.7800,1.9648
1f8h,44,4,84.3433,89.0192,0.7500,0.7800,0.0300,1.4600,1.5900,0.7800,1.9556
1j2x,42,0,93.5482,94.7450,0.8900,0.8900,0.0400,0.8000,0.8000,0.9900,0.8439
1j2x,42,1,93.8396,94.8644,0.8900,0.8900,0.0400,0.8000,0.8000,0.9900,1.0987
1j2x,42,2,91.4987,93.7121,0.8600,0.8700,0.0400,0.8500,0.8500,0.9700,1.2413
1j2x,42,3,94.0559,94.9330,0.9000,0.9000,0.0400,0.7900,0.7950,0.9900,1.4668
1j2x,42,4,92.4713,94.2420,0.8800,0.8800,0.0400,0.8200,0.8250,0.9800,0.9260
1j2x,43,0,92.7173,94.0623,0.8700,0.8700,0.0400,0.8200,0.8300,0.9700,1.0535
1j2x,43,1,92.7228,94.0911,0.8700,0.8800,0.0400,0.8100,0.8100,0.9700,1.2814
1j2x,43,2,93.4964,94.7500,0.8800,0.8800,0.0400,0.8100,0.8100,0.9700,1.1524
1j2x,43,3,93.7715,94.9241,0.8900,0.8900,0.0400,0.8000,0.8000,0.9800,1.1333
1j2x,43,4,93.7449,94.9680,0.8900,0.8900,0.0400,0.8000,0.8050,0.9800,1.0450
1j2x,44,0,94.1896,95.2197,0.9000,0.9000,0.0400,0.7900,0.7950,0.9900,0.9847
1j2x,44,1,93.1689,94.6389,0.8800,0.8800,0.0400,0.8300,0.8300,0.9800,1.2570
1j2x,44,2,92.8507,94.2289,0.8800,0.8800,0.0400,0.8000,0.8100,0.9900,1.0131
1j2x,44,3,93.1273,94.6626,0.8900,0.8900,0.0400,0.8000,0.8100,0.9900,1.2192
1j2x,44,4,93.5366,94.7030,0.8800,0.8900,0.0400,0.8000,0.8000,0.9800,1.5019
1jd5,42,0,93.3951,95.0856,0.9300,0.9100,0.0400,0.7900,0.7950,0.9600,1.1825
1jd5,42,1,94.3802,95.5688,0.9400,0.9200,0.0400,0.7800,0.7800,0.9700,1.3057
1jd5,42,2,93.7209,95.3475,0.9300,0.9200,0.0400,0.7900,0.7900,0.9700,1.0355
1jd5,42,3,92.7472,95.0421,0.9300,0.9100,0.0400,0.7900,0.7900,0.9600,2.0253
1jd5,42,4,93.9729,95.5358,0.9400,0.9200,0.0400,0.7900,0.7900,0.9700,1.3083
1jd5,43,0,93.2722,94.9417,0.9300,0.9200,0.0400,0.7900,0.7900,0.9700,1.1062
1jd5,43,1,92.8178,94.9913,0.9300,0.9100,0.0400,0.7900,0.7950,0.9600,1.0883
1jd5,43,2,93.3546,95.1047,0.9300,0.9200,0.0400,0.7900,0.7900,0.9700,1.0460
1jd5,43,3,94.1725,95.4688,0.9400,0.9200,0.0400,0.7800,0.7850,0.9700,1.1722
1jd5,43,4,94.0582,95.4364,0.9300,0.9200,0.0400,0.7800,0.7850,0.9700,1.1798
1jd5,44,0,93.7755,95.4230,0.9300,0.9200,0.0400,0.7900,0.7900,0.9700,0.9210
1jd5,44,1,93.6317,95.4071,0.9300,0.9200,0.0400,0.7900,0.7900,0.9700,0.6316
1jd5,44,2,93.9598,95.4956,0.9300,0.9200,0.0400,0.7900,0.7900,0.9700,1.0263
1jd5,44,3,93.4775,95.2640,0.9300,0.9200,0.0400,0.7900,0.7900,0.9700,1.1365
1jd5,44,4,93.6092,95.1673,0.9400,0.9100,0.0400,0.7800,0.7850,0.9700,0.9350
1jq8,42,0,63.5562,94.4001,0.5800,0.9200,0.0200,3.4600,4.5300,0.6700,2.4890
1jq8,42,1,66.9445,94.6003,0.6400,0.9300,0.0200,2.8400,3.9200,0.7200,1.9748
1jq8,42,2,66.4155,94.4878,0.6200,0.9200,0.0200,3.1400,4.2350,0.7000,2.3876
1jq8,42,3,68.0020,94.8792,0.6600,0.9300,0.0200,2.8300,3.9150,0.7400,2.1365
1jq8,42,4,68.1537,94.6397,0.6600,0.9300,0.0200,2.6900,3.7400,0.7400,2.1840
1jq8,43,0,68.7188,94.9605,0.6400,0.9300,0.0200,2.8300,3.8600,0.7100,3.1461
1jq8,43,1,67.7825,94.9599,0.6200,0.9300,0.0200,2.8500,3.9900,0.7000,2.5430
1jq8,43,2,70.9785,95.1481,0.6600,0.9300,0.0200,2.9300,3.8750,0.7500,1.7843
1jq8,43,3,68.5300,94.9459,0.6300,0.9300,0.0200,2.9200,4.0100,0.7100,2.4704
1jq8,43,4,66.2525,94.8008,0.6000,0.9300,0.0200,2.9900,4.0900,0.6900,3.2160
1jq8,44,0,66.9333,94.6539,0.6100,0.9300,0.0200,3.0300,4.0450,0.6900,2.4407
1jq8,44,1,64.7655,94.3360,0.6100,0.9200,0.0200,3.2700,4.0650,0.6900,1.9426
1jq8,44,2,67.4520,94.5970,0.6200,0.9300,0.0200,3.1000,4.0900,0.7000,2.7461
1jq8,44,3,67.7230,94.6309,0.6200,0.9200,0.0200,2.9800,3.9400,0.7000,2.2986
1jq8,44,4,65.8745,94.4985,0.6000,0.9200,0.0200,3.1600,4.2000,0.6900,2.1630
1jw6,42,0,44.4095,88.3898,0.3700,0.9000,0.0200,10.5500,10.6200,0.4900,46.6263
1jw6,42,1,49.1195,88.1974,0.4000,0.9000,0.0200,9.9100,10.3800,0.5100,36.0530
1jw6,42,2,47.1445,88.4086,0.3900,0.9000,0.0200,10.0900,10.3000,0.5000,35.7315
1jw6,42,3,49.0038,88.1895,0.3800,0.9000,0.0200,9.6300,10.2600,0.4900,36.6281
1jw6,42,4,47.0971,88.8326,0.4100,0.9100,0.0200,9.5300,9.9300,0.5200,46.7017
1jw6,43,0,49.9508,89.2328,0.4100,0.9100,0.0200,9.3400,9.6350,0.5200,34.1603
1jw6,43,1,43.4897,88.8212,0.3500,0.9100,0.0200,11.2000,11.2400,0.4800,29.7450
1jw6,43,2,45.2676,88.6051,0.3800,0.9100,0.0200,10.9300,11.0650,0.5000,31.9955
1jw6,43,3,45.7774,88.9970,0.3700,0.9100,0.0200,10.2500,10.6550,0.4900,37.9767
1jw6,43,4,46.8653,88.7214,0.4100,0.9000,0.0200,9.2800,10.1350,0.5200,33.6075
1jw6,44,0,43.4838,88.6352,0.3600,0.9100,0.0200,10.8700,11.1600,0.4800,46.2391
1jw6,44,1,45.0462,88.9374,0.4000,0.9100,0.0200,10.0800,10.1400,0.5100,46.5119
1jw6,44,2,48.0289,88.5903,0.4000,0.9000,0.0200,10.0300,10.5550,0.5100,34.8105
1jw6,44,3,49.3495,88.9508,0.4600,0.9000,0.0200,8.4400,9.2000,0.5600,37.3544
1jw6,44,4,52.5353,88.6204,0.4800,0.9000,0.0200,8.3800,8.4000,0.5700,45.4141
1l2z,42,0,81.7662,87.6836,0.6300,0.7200,0.0200,1.3100,1.3400,0.7200,2.7114
1l2z,42,1,81.7728,89.1892,0.6400,0.7500,0.0200,1.3200,1.3300,0.7400,2.7307
1l2z,42,2,81.6112,87.5330,0.6300,0.7200,0.0200,1.2900,1.3400,0.7300,2.5556
1l2z,42,3,80.7434,88.3345,0.6300,0.7300,0.0200,1.3400,1.3850,0.7200,2.1759
1l2z,42,4,79.5986,88.4799,0.6100,0.7300,0.0200,1.3500,1.3800,0.7100,3.0737
1l2z,43,0,82.4741,89.3116,0.6400,0.7500,0.0200,1.2400,1.2800,0.7400,2.6303
1l2z,43,1,81.9582,89.2261,0.6300,0.7300,0.0200,1.3500,1.3850,0.7300,2.5219
1l2z,43,2,84.3339,89.9861,0.6600,0.7500,0.0200,1.2200,1.2350,0.7600,2.9351
1l2z,43,3,81.3915,89.7169,0.6300,0.7500,0.0200,1.3200,1.3350,0.7300,2.1094
1l2z,43,4,81.3966,88.4234,0.6200,0.7300,0.0200,1.3700,1.3850,0.7100,2.4693
1l2z,44,0,78.3555,87.6164,0.6000,0.7200,0.0200,1.3100,1.3500,0.7000,2.9970
1l2z,44,1,81.6451,89.1173,0.6600,0.7400,0.0200,1.3000,1.3700,0.7500,2.5509
1l2z,44,2,82.3643,88.7242,0.6500,0.7500,0.0200,1.2600,1.2750,0.7400,2.6256
1l2z,44,3,82.4062,88.5828,0.6500,0.7400,0.0200,1.3100,1.3350,0.7400,2.6808
1l2z,44,4,82.0977,89.9344,0.6700,0.7700,0.0200,1.2000,1.2350,0.7700,2.4679
1lb6,42,0,91.0770,94.7853,0.9400,0.9300,0.0300,0.7900,0.7950,0.9600,0.4520
1lb6,42,1,91.3860,94.8818,0.9400,0.9300,0.0300,0.7900,0.7950,0.9700,0.5536
1lb6,42,2,91.5659,95.0872,0.9400,0.9400,0.0400,0.7900,0.7900,0.9700,0.6732
1lb6,42,3,91.5412,95.0665,0.9400,0.9400,0.0400,0.7900,0.7900,0.9700,0.4635
1lb6,42,4,91.3537,94.9445,0.9400,0.9300,0.0300,0.7900,0.7950,0.9600,0.4976
1lb6,43,0,91.3828,95.0590,0.9400,0.9400,0.0400,0.7900,0.7900,0.9700,0.5172
1lb6,43,1,91.2209,94.8227,0.9400,0.9300,0.0300,0.7900,0.7900,0.9700,0.5854
1lb6,43,2,91.1669,94.9567,0.9400,0.9300,0.0300,0.7900,0.7950,0.9600,0.4347
1lb6,43,3,91.8828,94.9328,0.9500,0.9400,0.0400,0.7800,0.7850,0.9700,0.5699
1lb6,43,4,91.1565,95.0331,0.9400,0.9400,0.0400,0.7900,0.7900,0.9700,0.6048
1lb6,44,0,92.0596,95.0902,0.9500,0.9400,0.0400,0.7800,0.7850,0.9700,0.3728
1lb6,44,1,91.4631,94.7162,0.9400,0.9300,0.0400,0.7800,0.7850,0.9700,0.4549
1lb6,44,2,91.1770,94.9225,0.9400,0.9400,0.0300,0.7900,0.7950,0.9700,0.4612
1lb6,44,3,91.5795,94.8319,0.9400,0.9300,0.0300,0.7900,0.7950,0.9600,0.5878
1lb6,44,4,91.1855,94.6276,0.9400,0.9300,0.0300,0.7900,0.7950,0.9600,0.4317
1mf4,42,0,58.5227,93.7587,0.5400,0.9200,0.0200,3.4700,4.5800,0.6400,4.1719
1mf4,42,1,56.4998,93.7482,0.5600,0.9200,0.0200,3.5800,4.4350,0.6500,4.1180
1mf4,42,2,57.2995,93.6750,0.5300,0.9200,0.0200,4.0400,5.0150,0.6300,3.1597
1mf4,42,3,58.2412,93.7854,0.5500,0.9200,0.0200,3.6000,4.5950,0.6400,3.0844
1mf4,42,4,57.1327,93.7620,0.5600,0.9200,0.0200,3.6400,4.3300,0.6500,4.0703
1mf4,43,0,54.5915,93.5804,0.5300,0.9200,0.0200,3.9200,4.9900,0.6300,4.7266
1mf4,43,1,57.1829,93.9841,0.5600,0.9200,0.0200,3.5700,4.1400,0.6500,5.1095
1mf4,43,2,59.7822,94.0655,0.5800,0.9200,0.0200,3.3600,4.3500,0.6700,2.7249
1mf4,43,3,56.0412,93.9203,0.5700,0.9200,0.0200,3.5300,4.5500,0.6600,4.8549
1mf4,43,4,59.0812,93.9861,0.5800,0.9200,0.0200,3.2800,4.1300,0.6700,2.4326
1mf4,44,0,55.6366,93.9793,0.5500,0.9200,0.0200,3.8400,4.5850,0.6500,3.6461
1mf4,44,1,58.2044,93.9797,0.5700,0.9200,0.0200,3.7900,4.6150,0.6600,4.1546
1mf4,44,2,56.3941,93.8129,0.5400,0.9200,0.0200,3.7200,4.4100,0.6300,2.3606
1mf4,44,3,56.8256,93.8612,0.5600,0.9200,0.0200,3.5900,4.6100,0.6500,2.5802
1mf4,44,4,55.6695,93.6807,0.5500,0.9200,0.0200,3.7800,4.7950,0.6400,4.4053
1mv0,42,0,68.4163,82.9126,0.3800,0.7100,0.0100,4.3600,5.2900,0.5200,4.8054
1mv0,42,1,71.8199,82.5760,0.5300,0.7200,0.0100,2.7400,3.4550,0.6400,4.1648
1mv0,42,2,72.1112,84.8830,0.4700,0.7400,0.0100,3.0900,3.8800,0.6000,6.8810
1mv0,42,3,69.6535,84.8947,0.4000,0.7400,0.0100,3.8500,4.6500,0.5400,2.9161
1mv0,42,4,74.0015,84.4651,0.5400,0.7400,0.0100,2.7900,3.3450,0.6500,5.9858
1mv0,43,0,70.0523,83.8094,0.4700,0.7400,0.0100,3.3000,4.1050,0.6000,2.9070
1mv0,43,1,72.3330,84.0450,0.4700,0.7400,0.0100,3.4800,4.3000,0.6000,4.8804
1mv0,43,2,71.5778,84.7745,0.5100,0.7600,0.0100,2.8200,3.5250,0.6400,2.7591
1mv0,43,3,70.6547,85.9434,0.4400,0.7600,0.0100,3.8000,4.5450,0.5800,2.2508
1mv0,43,4,72.8423,84.0571,0.5000,0.7400,0.0100,3.1500,3.6200,0.6200,5.0398
1mv0,44,0,68.5207,86.4890,0.3500,0.7500,0.0100,4.8500,5.8600,0.5000,3.0211
1mv0,44,1,71.5481,83.8750,0.5000,0.7400,0.0100,2.9000,3.5950,0.6300,2.9744
1mv0,44,2,72.5529,84.3103,0.5200,0.7500,0.0100,2.6100,3.2200,0.6400,3.3385
1mv0,44,3,70.1247,82.4902,0.4300,0.7200,0.0100,3.7800,4.6300,0.5600,4.1243
1mv0,44,4,71.9466,82.0229,0.4800,0.7200,0.0100,3.6300,4.2900,0.6000,6.1714
1nrl,42,0,89.4888,89.1149,0.9500,0.9100,0.0300,0.8700,0.8700,0.9700,0.6145
1nrl,42,1,89.6232,89.0148,0.9500,0.9100,0.0300,0.8800,0.8800,0.9700,0.6381
1nrl,42,2,89.4558,89.0799,0.9500,0.9100,0.0300,0.8800,0.8850,0.9700,0.7271
1nrl,42,3,89.5131,89.1438,0.9500,0.9100,0.0300,0.8800,0.8800,0.9700,0.6473
1nrl,42,4,89.5361,89.0139,0.9500,0.9100,0.0300,0.8700,0.8700,0.9700,0.6507
1nrl,43,0,89.8520,89.3007,0.9500,0.9100,0.0300,0.8700,0.8700,0.9700,0.6997
1nrl,43,1,89.5689,89.1329,0.9500,0.9100,0.0300,0.8700,0.8750,0.9700,0.6851
1nrl,43,2,89.4303,89.1565,0.9500,0.9100,0.0300,0.8700,0.8700,0.9700,0.6714
1nrl,43,3,89.6309,89.0930,0.9500,0.9100,0.0300,0.8700,0.8700,0.9700,0.6347
1nrl,43,4,89.4924,88.9972,0.9500,0.9100,0.0300,0.8700,0.8750,0.9700,0.6853
1nrl,44,0,89.9922,89.5270,0.9500,0.9100,0.0300,0.8600,0.8600,0.9700,0.6728
1nrl,44,1,89.7533,89.2642,0.9500,0.9100,0.0300,0.8700,0.8750,0.9700,0.6707
1nrl,44,2,89.8905,89.2422,0.9500,0.9100,0.0300,0.8500,0.8550,0.9700,0.6347
1nrl,44,3,89.6748,89.3872,0.9500,0.9100,0.0300,0.8700,0.8700,0.9700,0.6112
1nrl,44,4,89.8064,89.2355,0.9500,0.9100,0.0300,0.8700,0.8700,0.9700,0.6265
1nvq,42,0,47.5927,92.7605,0.5600,0.9400,0.0200,6.7100,7.4100,0.6400,0.7771
1nvq,42,1,44.3907,92.2798,0.4800,0.9300,0.0200,8.1500,8.9450,0.5800,0.9874
1nvq,42,2,46.5587,92.6412,0.5300,0.9300,0.0200,7.0800,7.9150,0.6200,0.4502
1nvq,42,3,44.9550,92.5684,0.4900,0.9300,0.0200,7.8600,8.5350,0.5900,0.5556
1nvq,42,4,44.8360,92.1734,0.4800,0.9300,0.0200,8.3200,8.9200,0.5800,0.9026
1nvq,43,0,44.2070,92.6020,0.4900,0.9300,0.0200,8.0000,8.7750,0.5900,0.6169
1nvq,43,1,44.9907,92.7398,0.4900,0.9300,0.0200,7.8500,8.5800,0.5900,0.5389
1nvq,43,2,43.8177,92.5054,0.4600,0.9300,0.0200,8.7100,9.1400,0.5600,0.5245
1nvq,43,3,44.7823,92.7695,0.5000,0.9300,0.0200,7.4500,8.2500,0.6000,0.7634
1nvq,43,4,45.0637,92.7639,0.4900,0.9300,0.0200,8.1200,8.6600,0.5900,0.6987
1nvq,44,0,44.7883,92.5996,0.5200,0.9300,0.0200,7.4200,8.2900,0.6100,1.0849
1nvq,44,1,44.0377,92.6461,0.4900,0.9300,0.0200,7.6500,8.5550,0.5900,0.9366
1nvq,44,2,44.5083,92.8601,0.5000,0.9400,0.0200,7.4400,8.4250,0.6000,0.8122
1nvq,44,3,46.2520,92.8059,0.5300,0.9300,0.0200,7.1700,7.8350,0.6200,0.6956
1nvq,44,4,44.8957,92.6837,0.5100,0.9300,0.0200,7.5700,8.2350,0.6100,0.2928
1o0p,42,0,59.1592,85.9738,0.4600,0.8000,0.0100,2.0900,2.4300,0.5900,5.0222
1o0p,42,1,56.6070,83.7973,0.4500,0.7600,0.0100,2.3200,2.7350,0.5700,4.5445
