method,native,pdb,seed,id,dockq_score,fnat,lrmsd,irmsd
nomsa_template,1ddv,1ddv,42,0,0.692,0.75,4.105,1.459
nomsa_template,1eg4,1eg4,43,4,0.201,0.562,42.157,30.381
nomsa_template,1ddv,1ddv,44,2,0.583,0.625,5.42,1.792
nomsa_template,1eg4,1eg4,44,2,0.2,0.562,44.025,31.515
nomsa_template,1eg4,1eg4,44,0,0.259,0.562,16.961,12.654
nomsa_template,1eg4,1eg4,44,4,0.2,0.562,44.177,32.119
nomsa_template,1ddv,1ddv,44,1,0.574,0.562,5.236,1.713
nomsa_template,1f47,1f47,43,2,0.938,1.0,1.308,0.659
nomsa_template,1ddv,1ddv,44,3,0.678,0.688,3.959,1.43
nomsa_template,1ddv,1ddv,44,4,0.764,0.688,2.713,0.99
nomsa_template,1eg4,1eg4,43,1,0.199,0.562,46.86,32.646
nomsa_template,1eg4,1eg4,42,3,0.2,0.562,44.319,30.935
nomsa_template,1eg4,1eg4,42,0,0.199,0.562,47.034,32.582
nomsa_template,1eg4,1eg4,42,2,0.212,0.594,41.754,31.956
nomsa_template,1f47,1f47,42,0,0.936,1.0,1.374,0.672
nomsa_template,1eg4,1eg4,44,1,0.242,0.562,19.715,19.141
nomsa_template,1eg4,1eg4,43,2,0.201,0.562,42.148,32.043
nomsa_template,1f47,1f47,42,4,0.916,0.938,1.284,0.675
nomsa_template,1f8h,1f8h,42,4,0.861,0.87,1.599,0.87
nomsa_template,1f47,1f47,42,2,0.932,0.969,1.171,0.643
nomsa_template,1f47,1f47,42,3,0.932,0.969,1.256,0.631
nomsa_template,1f47,1f47,44,4,0.926,1.0,1.463,0.736
nomsa_template,1eg4,1eg4,42,1,0.201,0.562,42.433,30.714
nomsa_template,1f8h,1f8h,43,4,0.785,0.826,2.771,1.159
nomsa_template,1f47,1f47,42,1,0.923,1.0,1.542,0.746
nomsa_template,1f47,1f47,43,4,0.928,0.969,1.357,0.654
nomsa_template,1f47,1f47,44,0,0.918,0.969,1.547,0.707
nomsa_template,1f8h,1f8h,42,1,0.806,0.826,2.286,1.081
nomsa_template,1eg4,1eg4,42,4,0.199,0.562,45.746,31.92
nomsa_template,1eg4,1eg4,43,3,0.198,0.562,48.926,33.514
nomsa_template,1f8h,1f8h,43,0,0.781,0.739,2.407,1.034
nomsa_template,1f47,1f47,43,3,0.914,0.938,1.331,0.682
nomsa_template,1eg4,1eg4,43,0,0.198,0.562,48.811,33.392
nomsa_template,1f47,1f47,43,0,0.933,1.0,1.568,0.677
nomsa_template,1f8h,1f8h,42,2,0.807,0.826,2.366,1.059
nomsa_template,1f47,1f47,44,2,0.921,0.969,1.41,0.697
nomsa_template,1eg4,1eg4,44,3,0.212,0.594,41.016,31.08
nomsa_template,1f47,1f47,44,1,0.912,0.969,1.638,0.74
nomsa_template,1f8h,1f8h,42,3,0.843,0.826,1.8,0.873
nomsa_template,1f47,1f47,43,1,0.89,0.938,1.795,0.805
nomsa_template,1f8h,1f8h,43,3,0.814,0.87,2.53,1.094
nomsa_template,1f8h,1f8h,44,1,0.846,0.826,1.91,0.841
nomsa_template,1f8h,1f8h,42,0,0.851,0.913,2.089,0.988
nomsa_template,1f47,1f47,44,3,0.938,1.0,1.293,0.661
nomsa_template,1f8h,1f8h,44,2,0.863,0.913,1.965,0.919
nomsa_template,1f8h,1f8h,44,3,0.862,0.87,1.847,0.836
nomsa_template,1j2x,1j2x,42,3,0.66,0.795,4.013,1.965
nomsa_template,1f8h,1f8h,43,2,0.828,0.87,2.368,1.012
nomsa_template,1j2x,1j2x,43,2,0.839,0.821,1.858,0.883
nomsa_template,1j2x,1j2x,43,4,0.853,0.795,1.465,0.769
nomsa_template,1f8h,1f8h,44,0,0.789,0.739,2.233,0.999
nomsa_template,1f8h,1f8h,43,1,0.822,0.826,2.107,0.984
nomsa_template,1j2x,1j2x,42,2,0.654,0.795,4.119,2.01
nomsa_template,1j2x,1j2x,43,1,0.664,0.846,4.202,2.081
nomsa_template,1j2x,1j2x,42,0,0.873,0.795,1.155,0.649
nomsa_template,1f8h,1f8h,44,4,0.858,0.913,2.186,0.927
nomsa_template,1j2x,1j2x,43,0,0.793,0.718,1.889,0.962
nomsa_template,1j2x,1j2x,42,4,0.778,0.821,2.513,1.244
nomsa_template,1j2x,1j2x,42,1,0.786,0.821,2.512,1.179
nomsa_template,1j2x,1j2x,43,3,0.748,0.795,2.709,1.384
nomsa_template,1j2x,1j2x,44,3,0.708,0.846,3.462,1.757
nomsa_template,1j2x,1j2x,44,1,0.846,0.795,1.802,0.784
nomsa_template,1j2x,1j2x,44,4,0.68,0.795,3.77,1.804
nomsa_template,1j2x,1j2x,44,0,0.885,0.821,1.067,0.628
nomsa_template,1jd5,1jd5,42,3,0.845,0.973,1.611,1.232
nomsa_template,1jd5,1jd5,44,1,0.956,0.973,0.629,0.501
nomsa_template,1jd5,1jd5,42,2,0.949,0.973,1.022,0.534
nomsa_template,1jd5,1jd5,43,0,0.826,0.973,0.998,1.443
nomsa_template,1jd5,1jd5,44,2,0.938,0.973,1.018,0.621
nomsa_template,1jd5,1jd5,42,0,0.815,0.973,1.086,1.537
nomsa_template,1jd5,1jd5,42,1,0.945,1.0,1.288,0.613
nomsa_template,1j2x,1j2x,44,2,0.87,0.795,1.069,0.678
nomsa_template,1jd5,1jd5,43,2,0.827,1.0,0.835,1.531
nomsa_template,1jq8,1jq8,42,0,0.78,0.659,2.728,0.813
nomsa_template,1jq8,1jq8,42,4,0.777,0.727,2.918,0.957
nomsa_template,1jd5,1jd5,43,3,0.934,0.973,0.865,0.66
nomsa_template,1jd5,1jd5,44,0,0.815,0.973,0.757,1.562
nomsa_template,1jd5,1jd5,43,1,0.858,0.973,0.937,1.19
nomsa_template,1jq8,1jq8,43,1,0.767,0.659,2.955,0.867
nomsa_template,1jd5,1jd5,43,4,0.937,1.0,1.201,0.68
nomsa_template,1jd5,1jd5,42,4,0.939,1.0,1.146,0.665
nomsa_template,1jd5,1jd5,44,4,0.785,0.973,0.978,1.853
nomsa_template,1jq8,1jq8,43,0,0.663,0.568,4.245,1.171
nomsa_template,1jq8,1jq8,42,3,0.787,0.705,2.613,0.882
nomsa_template,1jd5,1jd5,44,3,0.821,0.973,1.041,1.489
nomsa_template,1jq8,1jq8,42,2,0.793,0.727,2.716,0.877
nomsa_template,1jq8,1jq8,42,1,0.774,0.636,2.58,0.82
nomsa_template,1jq8,1jq8,43,2,0.834,0.773,2.501,0.732
nomsa_template,1jq8,1jq8,44,0,0.736,0.614,3.224,0.934
nomsa_template,1jq8,1jq8,43,3,0.772,0.705,3.176,0.904
nomsa_template,1jq8,1jq8,44,1,0.83,0.727,2.06,0.709
nomsa_template,1jq8,1jq8,44,2,0.791,0.75,3.082,0.888
nomsa_template,1jq8,1jq8,44,3,0.801,0.75,2.732,0.871
nomsa_template,1jq8,1jq8,44,4,0.687,0.523,3.43,1.035
nomsa_template,1jq8,1jq8,43,4,0.699,0.568,3.533,1.039
nomsa_template,1jw6,1jw6,42,1,0.027,0.0,33.369,10.151
nomsa_template,1jw6,1jw6,42,2,0.03,0.0,31.953,9.528
nomsa_template,1l2z,1l2z,42,0,0.627,0.643,3.727,1.835
nomsa_template,1l2z,1l2z,43,1,0.627,0.786,4.551,2.189
nomsa_template,1jw6,1jw6,42,0,0.024,0.0,36.082,10.787
nomsa_template,1l2z,1l2z,42,1,0.721,0.714,2.862,1.356
nomsa_template,1l2z,1l2z,43,4,0.641,0.714,4.001,1.876
nomsa_template,1l2z,1l2z,42,2,0.668,0.679,3.29,1.634
nomsa_template,1l2z,1l2z,43,2,0.606,0.679,4.356,2.055
nomsa_template,1jw6,1jw6,42,3,0.032,0.0,30.836,9.103
nomsa_template,1jw6,1jw6,43,0,0.029,0.0,32.588,9.609
nomsa_template,1jw6,1jw6,44,0,0.014,0.0,47.275,14.465
nomsa_template,1l2z,1l2z,44,2,0.652,0.714,3.377,1.927
nomsa_template,1jw6,1jw6,42,4,0.026,0.0,34.307,10.258
nomsa_template,1jw6,1jw6,43,2,0.036,0.0,29.026,8.546
nomsa_template,1l2z,1l2z,43,3,0.625,0.679,3.922,1.946
nomsa_template,1l2z,1l2z,43,0,0.619,0.714,4.298,2.065
nomsa_template,1l2z,1l2z,44,4,0.7,0.821,3.155,1.842
nomsa_template,1l2z,1l2z,44,1,0.702,0.821,3.067,1.842
nomsa_template,1jw6,1jw6,43,1,0.039,0.0,27.852,8.163
nomsa_template,1l2z,1l2z,44,3,0.682,0.714,2.785,1.736
nomsa_template,1l2z,1l2z,42,4,0.666,0.714,3.614,1.7
nomsa_template,1jw6,1jw6,43,4,0.03,0.0,31.999,9.641
nomsa_template,1l2z,1l2z,42,3,0.761,0.75,2.444,1.205
nomsa_template,1l2z,1l2z,44,0,0.657,0.75,3.475,1.981
nomsa_template,1lb6,1lb6,42,1,0.973,0.973,0.515,0.34
nomsa_template,1lb6,1lb6,43,0,0.96,0.946,0.779,0.375
nomsa_template,1jw6,1jw6,43,3,0.024,0.0,35.852,10.6
nomsa_template,1jw6,1jw6,44,3,0.026,0.0,34.043,10.389
nomsa_template,1jw6,1jw6,44,4,0.027,0.0,33.631,10.19
nomsa_template,1jw6,1jw6,44,1,0.03,0.0,32.22,9.666
nomsa_template,1lb6,1lb6,43,1,0.967,0.973,0.762,0.393
nomsa_template,1lb6,1lb6,43,3,0.965,0.946,0.545,0.328
nomsa_template,1lb6,1lb6,42,0,0.964,0.946,0.637,0.341
nomsa_template,1mf4,1mf4,42,0,0.481,0.457,6.961,1.885
nomsa_template,1jw6,1jw6,44,2,0.028,0.0,32.89,9.807
nomsa_template,1lb6,1lb6,42,2,0.97,0.973,0.707,0.368
nomsa_template,1lb6,1lb6,42,3,0.971,0.973,0.712,0.352
nomsa_template,1lb6,1lb6,43,2,0.97,0.973,0.768,0.364
nomsa_template,1lb6,1lb6,42,4,0.974,0.973,0.644,0.327
nomsa_template,1lb6,1lb6,44,1,0.983,1.0,0.619,0.332
nomsa_template,1mf4,1mf4,42,3,0.682,0.6,4.053,1.15
nomsa_template,1lb6,1lb6,44,3,0.974,0.973,0.565,0.329
nomsa_template,1mv0,1mv0,42,1,0.336,0.302,8.345,3.032
nomsa_template,1mf4,1mf4,43,0,0.709,0.657,3.969,1.102
nomsa_template,1lb6,1lb6,44,2,0.976,0.973,0.48,0.315
nomsa_template,1lb6,1lb6,44,0,0.971,0.973,0.699,0.353
nomsa_template,1mf4,1mf4,44,1,0.669,0.6,4.375,1.186
nomsa_template,1mf4,1mf4,42,2,0.7,0.571,3.593,1.029
nomsa_template,1lb6,1lb6,43,4,0.976,0.973,0.622,0.307
nomsa_template,1mf4,1mf4,44,0,0.667,0.514,3.849,1.083
nomsa_template,1mf4,1mf4,42,1,0.663,0.629,4.541,1.273
nomsa_template,1lb6,1lb6,44,4,0.977,0.973,0.424,0.302
nomsa_template,1mv0,1mv0,42,2,0.344,0.279,7.892,2.868
nomsa_template,1mv0,1mv0,44,0,0.262,0.209,9.787,3.624
nomsa_template,1mf4,1mf4,42,4,0.739,0.629,3.306,0.938
nomsa_template,1mf4,1mf4,43,3,0.628,0.543,4.691,1.291
nomsa_template,1mv0,1mv0,42,0,0.691,0.674,3.156,1.446
nomsa_template,1mf4,1mf4,43,1,0.637,0.514,4.375,1.21
nomsa_template,1mv0,1mv0,42,4,0.239,0.209,10.712,4.01
nomsa_template,1mf4,1mf4,43,2,0.677,0.571,4.053,1.116
nomsa_template,1mv0,1mv0,43,3,0.723,0.698,2.943,1.279
nomsa_template,1mf4,1mf4,44,4,0.708,0.686,4.137,1.147
nomsa_template,1mv0,1mv0,43,1,0.773,0.814,2.08,1.322
nomsa_template,1mv0,1mv0,43,4,0.247,0.233,10.764,3.97
nomsa_template,1mf4,1mf4,43,4,0.572,0.514,5.46,1.517
nomsa_template,1mv0,1mv0,42,3,0.693,0.721,3.019,1.593
nomsa_template,1mf4,1mf4,44,3,0.657,0.6,4.54,1.243
nomsa_template,1mv0,1mv0,43,2,0.292,0.256,9.13,3.487
nomsa_template,1mv0,1mv0,43,0,0.518,0.535,5.403,2.259
nomsa_template,1mv0,1mv0,44,1,0.473,0.488,5.985,2.517
nomsa_template,1mv0,1mv0,44,3,0.689,0.605,2.4,1.395
nomsa_template,1mf4,1mf4,44,2,0.678,0.543,3.871,1.068
nomsa_template,1mv0,1mv0,44,2,0.744,0.791,2.394,1.46
nomsa_template,1mv0,1mv0,44,4,0.219,0.163,10.889,4.169
nomsa_template,1nrl,1nrl,42,0,0.979,1.0,0.692,0.368
nomsa_template,1nrl,1nrl,42,4,0.965,0.974,0.672,0.424
nomsa_template,1nrl,1nrl,43,0,0.963,0.974,0.661,0.438
nomsa_template,1nrl,1nrl,42,1,0.954,0.947,0.682,0.435
nomsa_template,1nrl,1nrl,44,2,0.972,1.0,0.644,0.439
nomsa_template,1nrl,1nrl,43,3,0.958,0.947,0.763,0.398
nomsa_template,1nrl,1nrl,42,2,0.973,1.0,0.992,0.406
nomsa_template,1nrl,1nrl,43,4,0.966,0.974,0.762,0.405
nomsa_template,1nvq,1nvq,43,0,0.956,0.92,0.67,0.329
nomsa_template,1nrl,1nrl,44,0,0.972,1.0,0.693,0.43
nomsa_template,1nrl,1nrl,44,4,0.958,0.974,0.855,0.47
nomsa_template,1nrl,1nrl,42,3,0.942,0.974,0.763,0.608
nomsa_template,1o0p,1o0p,42,1,0.615,0.7,4.527,1.979
nomsa_template,1o0p,1o0p,43,1,0.556,0.525,4.396,2.025
nomsa_template,1nrl,1nrl,44,1,0.971,0.974,0.737,0.36
nomsa_template,1o0p,1o0p,42,2,0.643,0.7,3.946,1.813
nomsa_template,1nvq,1nvq,42,1,0.948,0.92,0.855,0.395
nomsa_template,1nvq,1nvq,42,3,0.968,0.96,0.503,0.357
nomsa_template,1nvq,1nvq,44,1,0.909,0.84,1.21,0.483
nomsa_template,1nvq,1nvq,44,0,0.919,0.84,1.003,0.41
nomsa_template,1nrl,1nrl,43,1,0.974,1.0,0.69,0.414
nomsa_template,1nrl,1nrl,43,2,0.972,1.0,0.697,0.432
nomsa_template,1o0p,1o0p,42,0,0.526,0.6,5.531,2.438
nomsa_template,1o0p,1o0p,43,2,0.585,0.7,5.153,2.161
nomsa_template,1o0p,1o0p,42,3,0.596,0.625,4.287,1.97
nomsa_template,1o0p,1o0p,42,4,0.56,0.65,5.286,2.243
nomsa_template,1nvq,1nvq,43,4,0.297,0.68,17.674,9.794
nomsa_template,1o0p,1o0p,43,0,0.524,0.55,5.254,2.3
nomsa_template,1nvq,1nvq,42,0,0.955,0.92,0.623,0.348
nomsa_template,1o0p,1o0p,43,3,0.596,0.675,4.635,2.085
nomsa_template,1nvq,1nvq,42,4,0.968,0.96,0.768,0.335
nomsa_template,1nvq,1nvq,43,2,0.968,0.96,0.679,0.347
nomsa_template,1nvq,1nvq,42,2,0.946,0.88,0.569,0.294
nomsa_template,1nvq,1nvq,44,4,0.975,0.96,0.397,0.274
nomsa_template,1pmx,1pmx,43,0,0.722,0.87,3.419,1.707
nomsa_template,1nvq,1nvq,44,2,0.029,0.0,32.207,10.082
nomsa_template,1o0p,1o0p,43,4,0.61,0.675,4.42,1.961
nomsa_template,1nvq,1nvq,43,1,0.959,0.92,0.598,0.299
nomsa_template,1nrl,1nrl,44,3,0.973,1.0,0.684,0.424
nomsa_template,1o0p,1o0p,44,1,0.568,0.6,4.854,2.042
nomsa_template,1pmx,1pmx,42,0,0.73,0.739,2.245,1.454
nomsa_template,1pmx,1pmx,42,3,0.784,0.87,2.263,1.36
nomsa_template,1nvq,1nvq,44,3,0.958,0.92,0.597,0.308
nomsa_template,1o0p,1o0p,44,2,0.502,0.575,6.052,2.481
nomsa_template,1pmx,1pmx,43,2,0.785,0.913,1.743,1.554
nomsa_template,1p7v,1p7v,44,4,0.76,0.633,2.997,0.85
nomsa_template,1o0p,1o0p,44,0,0.556,0.575,4.804,2.111
nomsa_template,1nvq,1nvq,43,3,0.967,0.96,0.775,0.346
nomsa_template,1o0p,1o0p,44,3,0.604,0.65,4.309,1.974
nomsa_template,1o0p,1o0p,44,4,0.541,0.625,5.508,2.324
nomsa_template,1p7v,1p7v,42,3,0.785,0.653,2.703,0.762
nomsa_template,1pmx,1pmx,44,4,0.71,0.783,3.208,1.587
nomsa_template,1pmx,1pmx,42,4,0.752,0.87,2.854,1.539
nomsa_template,1pmx,1pmx,42,1,0.788,0.87,2.088,1.349
nomsa_template,1pmx,1pmx,43,3,0.715,0.87,3.264,1.824
nomsa_template,1p7v,1p7v,43,1,0.761,0.571,2.639,0.748
nomsa_template,1pmx,1pmx,42,2,0.783,0.826,1.923,1.295
nomsa_template,1p7v,1p7v,42,1,0.778,0.653,2.809,0.795
nomsa_template,1p7v,1p7v,44,0,0.77,0.673,3.042,0.869
nomsa_template,1p7v,1p7v,42,2,0.692,0.592,3.859,1.092
nomsa_template,1pmx,1pmx,44,0,0.826,0.913,1.935,1.192
nomsa_template,1p7v,1p7v,42,0,0.421,0.286,6.979,1.922
nomsa_template,1p7v,1p7v,43,2,0.793,0.694,2.78,0.792
nomsa_template,1p7v,1p7v,43,4,0.737,0.633,3.355,0.955
nomsa_template,1pmx,1pmx,43,1,0.717,0.783,3.342,1.491
nomsa_template,1pmx,1pmx,43,4,0.772,0.913,2.803,1.497
nomsa_template,1p7v,1p7v,42,4,0.781,0.612,2.538,0.718
nomsa_template,1pmx,1pmx,44,2,0.776,0.87,3.099,1.287
nomsa_template,1pmx,1pmx,44,3,0.685,0.783,4.809,1.453
nomsa_template,1p7v,1p7v,44,1,0.688,0.551,3.69,1.048
nomsa_template,1p7v,1p7v,44,3,0.732,0.633,3.446,0.974
nomsa_template,1pmx,1pmx,44,1,0.757,0.913,2.473,1.709
nomsa_template,1p7v,1p7v,44,2,0.688,0.551,3.701,1.044
nomsa_template,1p7v,1p7v,43,0,0.754,0.653,3.224,0.899
nomsa_template,1p7v,1p7v,43,3,0.695,0.571,3.703,1.045
nomsa_template,1r17,1r17,42,0,0.918,0.953,0.961,0.72
nomsa_template,1r17,1r17,43,1,0.941,0.929,1.019,0.478
nomsa_template,1r17,1r17,44,1,0.949,0.953,0.897,0.486
nomsa_template,1r17,1r17,42,3,0.927,0.918,1.223,0.548
nomsa_template,1r17,1r17,43,2,0.88,0.941,0.708,0.971
nomsa_template,1r17,1r17,42,4,0.898,0.929,1.327,0.774
nomsa_template,1rxz,1rxz,42,1,0.909,0.926,0.941,0.718
nomsa_template,1r17,1r17,44,2,0.954,0.953,0.75,0.45
nomsa_template,1r17,1r17,42,1,0.879,0.894,1.302,0.829
nomsa_template,1r17,1r17,43,4,0.944,0.953,0.918,0.524
nomsa_template,1rxz,1rxz,43,1,0.901,0.926,1.007,0.773
nomsa_template,1r17,1r17,44,3,0.915,0.941,0.707,0.723
nomsa_template,1rxz,1rxz,42,2,0.886,0.926,1.136,0.869
nomsa_template,1r17,1r17,44,0,0.949,0.953,0.865,0.491
nomsa_template,1r17,1r17,42,2,0.952,0.929,0.688,0.405
nomsa_template,1r17,1r17,43,3,0.939,0.929,0.862,0.503
nomsa_template,1rxz,1rxz,42,4,0.88,0.926,1.572,0.873
nomsa_template,1r17,1r17,43,0,0.914,0.906,1.549,0.583
nomsa_template,1rxz,1rxz,43,4,0.894,0.926,1.1,0.812
nomsa_template,1r17,1r17,44,4,0.95,0.953,0.894,0.476
nomsa_template,1rxz,1rxz,42,0,0.899,0.907,0.982,0.741
nomsa_template,1rxz,1rxz,42,3,0.887,0.889,1.058,0.779
nomsa_template,1t74,1t74,43,2,0.916,0.857,1.184,0.473
nomsa_template,1rxz,1rxz,44,2,0.872,0.889,1.061,0.882
nomsa_template,1t74,1t74,43,0,0.867,0.75,1.526,0.551
nomsa_template,1rxz,1rxz,43,3,0.89,0.889,1.038,0.76
nomsa_template,1rxz,1rxz,44,0,0.879,0.907,1.181,0.866
nomsa_template,1t74,1t74,42,4,0.956,0.929,0.945,0.342
nomsa_template,1rxz,1rxz,43,0,0.881,0.907,1.055,0.865
nomsa_template,1t74,1t74,42,3,0.971,0.964,0.738,0.318
nomsa_template,1rxz,1rxz,43,2,0.866,0.87,1.06,0.883
nomsa_template,1t74,1t74,43,1,0.919,0.893,1.421,0.524
nomsa_template,1t74,1t74,43,4,0.87,0.893,2.337,0.783
nomsa_template,1rxz,1rxz,44,1,0.875,0.926,1.04,0.953
nomsa_template,1rxz,1rxz,44,3,0.891,0.907,1.039,0.796
nomsa_template,1rxz,1rxz,44,4,0.857,0.889,1.473,0.956
nomsa_template,1t74,1t74,42,0,0.954,0.929,0.849,0.368
nomsa_template,1t74,1t74,42,1,0.934,0.857,0.691,0.344
nomsa_template,1t74,1t74,42,2,0.963,0.929,0.632,0.284
nomsa_template,1t74,1t74,43,3,0.91,0.857,1.425,0.5
nomsa_template,1v1t,1v1t,42,1,0.964,0.96,0.617,0.39
nomsa_template,1t74,1t74,44,0,0.944,0.893,0.86,0.351
nomsa_template,1v1t,1v1t,43,2,0.944,0.92,1.071,0.419
nomsa_template,1t74,1t74,44,1,0.947,0.964,1.387,0.491
nomsa_template,1t74,1t74,44,4,0.898,0.857,1.599,0.579
nomsa_template,1v1t,1v1t,42,3,0.963,0.96,0.469,0.402
nomsa_template,1v1t,1v1t,43,0,0.958,0.96,0.751,0.441
nomsa_template,1t74,1t74,44,2,0.955,0.929,0.764,0.365
nomsa_template,1v1t,1v1t,42,4,0.966,0.96,0.606,0.373
nomsa_template,1t74,1t74,44,3,0.952,0.929,0.929,0.38
nomsa_template,1v1t,1v1t,44,1,0.957,0.96,0.656,0.454
nomsa_template,1v1t,1v1t,42,2,0.975,1.0,0.79,0.4
nomsa_template,1v1t,1v1t,43,3,0.969,1.0,0.855,0.45
nomsa_template,1v1t,1v1t,44,0,0.964,0.96,0.671,0.39
nomsa_template,1v1t,1v1t,42,0,0.965,0.96,0.658,0.381
nomsa_template,1v1t,1v1t,44,3,0.961,0.96,0.766,0.41
nomsa_template,1v1t,1v1t,44,2,0.965,0.96,0.603,0.379
nomsa_template,1v1t,1v1t,44,4,0.979,1.0,0.478,0.382
nomsa_template,1v1t,1v1t,43,4,0.965,0.96,0.535,0.382
nomsa_template,1v1t,1v1t,43,1,0.966,0.96,0.445,0.38
nomsa_template,1yfn,1yfn,42,3,0.974,0.981,0.75,0.347
nomsa_template,1w80,1w80,42,3,0.908,0.923,1.634,0.665
nomsa_template,1w80,1w80,42,0,0.86,0.885,2.135,0.856
nomsa_template,1w80,1w80,43,3,0.9,0.885,1.499,0.638
nomsa_template,1yfn,1yfn,42,2,0.985,1.0,0.603,0.302
nomsa_template,1yfn,1yfn,42,0,0.909,0.925,1.456,0.677
nomsa_template,1yfn,1yfn,42,4,0.955,0.962,0.994,0.455
nomsa_template,1w80,1w80,43,4,0.839,0.846,2.345,0.887
nomsa_template,1w80,1w80,42,1,0.932,0.962,1.438,0.598
nomsa_template,1w80,1w80,42,2,0.933,0.962,1.402,0.595
nomsa_template,1w80,1w80,44,1,0.877,0.846,1.677,0.694
nomsa_template,1w80,1w80,44,0,0.835,0.846,2.323,0.915
nomsa_template,1w80,1w80,43,1,0.849,0.846,2.097,0.85
nomsa_template,1w80,1w80,43,0,0.846,0.846,2.132,0.863
nomsa_template,1yfn,1yfn,43,3,0.67,0.66,3.374,1.54
nomsa_template,1w80,1w80,43,2,0.899,0.885,1.575,0.639
nomsa_template,1yfn,1yfn,42,1,0.976,1.0,0.761,0.393
nomsa_template,1yfn,1yfn,43,0,0.762,0.792,2.724,1.26
nomsa_template,1w80,1w80,44,4,0.888,0.885,1.743,0.703
nomsa_template,1yfn,1yfn,43,4,0.744,0.83,3.152,1.436
